"Time","Dish washer (12 place setting)","Electric Cooker (hot plate+oven) ()","Fridge freezer (Kitchen, 190l/55l)","Halogen lamp 1 (0,5kW)","Microwave oven (Fonte, 1,35kW)","Site consumption ()","Total site light consumption ()","TV ()","Vertical freezer (Kitchen, 120l)","Washing machine ()"
"1998-01-29 02:20:00.0","0","0","0","0","0","15","0","0","4","0"
"1998-01-29 02:30:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-29 02:40:00.0","0","0","0","0","0","24","0","0","16","0"
"1998-01-29 02:50:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 03:00:00.0","0","0","8","0","0","20","0","0","1","0"
"1998-01-29 03:10:00.0","0","0","25","0","0","49","0","0","18","0"
"1998-01-29 03:20:00.0","0","0","22","0","0","44","0","0","17","0"
"1998-01-29 03:30:00.0","0","0","4","0","0","13","0","0","0","0"
"1998-01-29 03:40:00.0","0","0","0","0","0","11","0","0","0","0"
"1998-01-29 03:50:00.0","0","0","0","0","0","27","0","0","18","0"
"1998-01-29 04:00:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-29 04:10:00.0","0","0","0","0","0","11","0","0","1","0"
"1998-01-29 04:20:00.0","0","0","15","0","0","24","0","0","0","0"
"1998-01-29 04:30:00.0","0","0","25","0","0","48","0","0","17","0"
"1998-01-29 04:40:00.0","0","0","21","0","0","44","0","0","18","0"
"1998-01-29 04:50:00.0","0","0","7","0","0","19","0","0","2","0"
"1998-01-29 05:00:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 05:10:00.0","0","0","0","0","0","24","0","0","16","0"
"1998-01-29 05:20:00.0","0","0","0","0","0","26","0","0","17","0"
"1998-01-29 05:30:00.0","0","0","0","0","0","14","0","0","5","0"
"1998-01-29 05:40:00.0","0","0","5","0","38","57","3","0","0","0"
"1998-01-29 05:50:00.0","0","0","24","0","0","50","7","0","12","0"
"1998-01-29 06:00:00.0","0","0","24","0","0","53","7","0","17","0"
"1998-01-29 06:10:00.0","0","0","15","0","0","31","0","0","8","0"
"1998-01-29 06:20:00.0","0","0","0","0","0","9","0","0","0","0"
"1998-01-29 06:30:00.0","0","0","0","0","0","19","0","0","9","0"
"1998-01-29 06:40:00.0","0","0","0","0","25","66","15","0","18","0"
"1998-01-29 06:50:00.0","0","0","0","0","0","36","16","0","11","0"
"1998-01-29 07:00:00.0","0","0","12","0","0","34","12","0","0","0"
"1998-01-29 07:10:00.0","0","0","22","0","0","51","16","0","5","0"
"1998-01-29 07:20:00.0","0","0","23","0","0","56","11","0","18","0"
"1998-01-29 07:30:00.0","0","0","11","0","0","33","1","0","14","0"
"1998-01-29 07:40:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 07:50:00.0","0","0","0","0","0","13","0","0","3","0"
"1998-01-29 08:00:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-29 08:10:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-29 08:20:00.0","0","0","6","0","0","16","0","0","0","0"
"1998-01-29 08:30:00.0","0","0","24","0","0","32","0","0","0","0"
"1998-01-29 08:40:00.0","0","0","23","0","0","46","0","0","17","0"
"1998-01-29 08:50:00.0","0","0","13","0","0","37","0","0","17","0"
"1998-01-29 09:00:00.0","0","0","0","0","0","13","0","0","3","0"
"1998-01-29 09:10:00.0","0","0","0","0","45","56","0","0","0","0"
"1998-01-29 09:20:00.0","0","0","0","0","0","32","0","8","13","0"
"1998-01-29 09:30:00.0","0","0","0","0","0","35","3","7","18","0"
"1998-01-29 09:40:00.0","0","0","8","0","0","36","13","0","5","0"
"1998-01-29 09:50:00.0","0","0","23","0","0","41","12","0","0","0"
"1998-01-29 10:00:00.0","0","0","22","0","0","51","10","0","11","0"
"1998-01-29 10:10:00.0","0","0","13","0","0","36","0","0","17","0"
"1998-01-29 10:20:00.0","0","0","0","0","0","18","0","0","9","0"
"1998-01-29 10:30:00.0","0","0","0","0","0","9","0","0","0","0"
"1998-01-29 10:40:00.0","0","0","0","0","0","19","0","0","8","0"
"1998-01-29 10:50:00.0","0","0","0","0","0","25","0","0","18","0"
"1998-01-29 11:00:00.0","0","0","4","0","0","25","0","0","11","0"
"1998-01-29 11:10:00.0","0","0","24","0","0","31","0","0","0","0"
"1998-01-29 11:20:00.0","0","0","24","0","0","37","0","0","7","0"
"1998-01-29 11:30:00.0","0","0","13","0","0","38","0","0","18","0"
"1998-01-29 11:40:00.0","0","0","0","0","0","22","0","0","14","0"
"1998-01-29 11:50:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 12:00:00.0","0","0","0","0","0","13","0","0","3","0"
"1998-01-29 12:10:00.0","0","0","0","0","0","30","0","0","18","0"
"1998-01-29 12:20:00.0","0","0","21","0","0","44","0","0","17","0"
"1998-01-29 12:30:00.0","0","0","22","0","0","33","0","0","4","0"
"1998-01-29 12:40:00.0","0","0","22","0","0","29","0","0","0","0"
"1998-01-29 12:50:00.0","0","0","3","0","0","27","0","0","16","0"
"1998-01-29 13:00:00.0","0","0","0","0","0","26","0","0","17","0"
"1998-01-29 13:10:00.0","0","0","0","0","0","14","0","0","5","0"
"1998-01-29 13:20:00.0","0","0","0","0","0","9","0","0","0","0"
"1998-01-29 13:30:00.0","0","0","0","0","0","22","0","0","13","0"
"1998-01-29 13:40:00.0","0","0","9","0","0","35","0","0","18","0"
"1998-01-29 13:50:00.0","0","0","24","0","0","37","0","0","7","0"
"1998-01-29 14:00:00.0","0","0","23","0","0","30","0","0","0","0"
"1998-01-29 14:10:00.0","0","0","8","0","0","27","0","0","11","0"
"1998-01-29 14:20:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-29 14:30:00.0","0","0","0","0","0","16","0","0","8","0"
"1998-01-29 14:40:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 14:50:00.0","0","0","0","0","0","20","0","0","10","0"
"1998-01-29 15:00:00.0","0","0","0","0","0","25","0","0","18","0"
"1998-01-29 15:10:00.0","0","0","22","0","0","39","0","0","9","0"
"1998-01-29 15:20:00.0","0","0","24","0","0","31","0","0","0","0"
"1998-01-29 15:30:00.0","0","0","21","0","0","37","0","0","9","0"
"1998-01-29 15:40:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-29 15:50:00.0","0","0","0","0","0","20","0","0","12","0"
"1998-01-29 16:00:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 16:10:00.0","0","0","0","0","0","15","0","0","5","0"
"1998-01-29 16:20:00.0","0","0","0","0","0","25","0","0","18","0"
"1998-01-29 16:30:00.0","0","0","5","0","0","27","0","0","13","0"
"1998-01-29 16:40:00.0","0","0","24","0","0","32","0","0","0","0"
"1998-01-29 16:50:00.0","0","0","24","0","0","35","0","0","4","0"
"1998-01-29 17:00:00.0","0","0","17","0","0","41","0","0","18","0"
"1998-01-29 17:10:00.0","0","0","0","0","0","23","0","0","15","0"
"1998-01-29 17:20:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 17:30:00.0","0","0","0","0","0","11","0","0","2","0"
"1998-01-29 17:40:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-29 17:50:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-29 18:00:00.0","0","0","1","0","0","12","0","0","0","0"
"1998-01-29 18:10:00.0","0","0","25","0","0","32","0","0","0","0"
"1998-01-29 18:20:00.0","0","0","23","0","0","45","0","0","15","0"
"1998-01-29 18:30:00.0","0","0","17","0","0","40","1","0","18","0"
"1998-01-29 18:40:00.0","0","0","0","0","0","20","5","0","5","0"
"1998-01-29 18:50:00.0","0","0","0","0","0","17","8","0","0","0"
"1998-01-29 19:00:00.0","0","0","0","73","0","28","5","3","10","0"
"1998-01-29 19:10:00.0","0","0","0","14","203","256","13","10","18","0"
"1998-01-29 19:20:00.0","0","0","0","0","0","33","11","5","8","0"
"1998-01-29 19:30:00.0","0","0","14","0","0","31","9","0","0","0"
"1998-01-29 19:40:00.0","0","0","24","0","0","46","8","0","8","0"
"1998-01-29 19:50:00.0","0","0","23","0","0","53","7","0","18","0"
"1998-01-29 20:00:00.0","0","0","5","0","0","29","6","0","10","0"
"1998-01-29 20:10:00.0","0","0","0","0","0","21","10","0","0","0"
"1998-01-29 20:20:00.0","0","0","0","0","0","31","15","0","7","0"
"1998-01-29 20:30:00.0","0","0","0","0","0","43","15","1","18","0"
"1998-01-29 20:40:00.0","0","0","16","0","32","88","8","10","13","0"
"1998-01-29 20:50:00.0","0","0","23","0","0","40","0","9","0","0"
"1998-01-29 21:00:00.0","0","0","22","0","0","41","0","9","2","0"
"1998-01-29 21:10:00.0","0","0","13","0","0","48","0","10","18","0"
"1998-01-29 21:20:00.0","0","0","0","0","0","35","4","7","17","0"
"1998-01-29 21:30:00.0","0","0","0","0","0","12","2","0","0","0"
"1998-01-29 21:40:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 21:50:00.0","0","0","0","0","0","26","0","0","17","0"
"1998-01-29 22:00:00.0","0","0","9","0","0","34","0","0","18","0"
"1998-01-29 22:10:00.0","0","0","24","0","0","35","0","0","3","0"
"1998-01-29 22:20:00.0","0","0","22","0","0","30","0","0","0","0"
"1998-01-29 22:30:00.0","0","0","12","0","0","33","0","0","14","0"
"1998-01-29 22:40:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-29 22:50:00.0","0","0","0","0","0","15","0","0","5","0"
"1998-01-29 23:00:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 23:10:00.0","0","0","0","0","0","21","0","0","11","0"
"1998-01-29 23:20:00.0","0","0","2","0","0","28","0","0","18","0"
"1998-01-29 23:30:00.0","0","0","24","0","0","39","0","0","8","0"
"1998-01-29 23:40:00.0","0","0","23","0","0","30","0","0","0","0"
"1998-01-29 23:50:00.0","0","0","17","0","0","34","0","0","9","0"
"1998-01-30 00:00:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-30 00:10:00.0","0","0","0","0","0","18","0","0","10","0"
"1998-01-30 00:20:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 00:30:00.0","0","0","0","0","0","17","0","0","7","0"
"1998-01-30 00:40:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-30 00:50:00.0","0","0","13","0","0","33","0","0","12","0"
"1998-01-30 01:00:00.0","0","0","25","0","0","33","0","0","0","0"
"1998-01-30 01:10:00.0","0","0","22","0","0","34","0","0","5","0"
"1998-01-30 01:20:00.0","0","0","8","0","0","33","0","0","18","0"
"1998-01-30 01:30:00.0","0","0","0","0","0","22","0","0","14","0"
"1998-01-30 01:40:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 01:50:00.0","0","0","0","0","0","13","0","0","3","0"
"1998-01-30 02:00:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-30 02:10:00.0","0","0","0","0","0","24","0","0","16","0"
"1998-01-30 02:20:00.0","0","0","19","0","0","29","0","0","0","0"
"1998-01-30 02:30:00.0","0","0","24","0","0","32","0","0","0","0"
"1998-01-30 02:40:00.0","0","0","22","0","0","45","0","0","18","0"
"1998-01-30 02:50:00.0","0","0","2","0","0","27","0","0","18","0"
"1998-01-30 03:00:00.0","0","0","0","0","0","11","0","0","1","0"
"1998-01-30 03:10:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 03:20:00.0","0","0","0","0","0","25","0","0","16","0"
"1998-01-30 03:30:00.0","0","0","0","0","0","25","0","0","18","0"
"1998-01-30 03:40:00.0","0","0","1","0","0","14","0","0","2","0"
"1998-01-30 03:50:00.0","0","0","24","0","0","32","0","0","0","0"
"1998-01-30 04:00:00.0","0","0","24","0","0","46","0","0","16","0"
"1998-01-30 04:10:00.0","0","0","17","0","0","40","0","0","17","0"
"1998-01-30 04:20:00.0","0","0","0","0","0","14","0","0","4","0"
"1998-01-30 04:30:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 04:40:00.0","0","0","0","0","0","22","0","0","12","0"
"1998-01-30 04:50:00.0","0","0","0","0","0","25","0","0","18","0"
"1998-01-30 05:00:00.0","0","0","0","0","0","16","0","0","6","0"
"1998-01-30 05:10:00.0","0","0","8","0","0","17","0","0","0","0"
"1998-01-30 05:20:00.0","0","0","24","0","0","43","0","0","11","0"
"1998-01-30 05:30:00.0","0","0","23","0","0","45","0","0","18","0"
"1998-01-30 05:40:00.0","0","0","16","0","34","73","7","0","8","0"
"1998-01-30 05:50:00.0","0","0","0","0","0","16","6","0","0","0"
"1998-01-30 06:00:00.0","0","0","0","0","0","18","0","0","7","0"
"1998-01-30 06:10:00.0","0","0","0","0","0","25","0","0","18","0"
"1998-01-30 06:20:00.0","0","0","0","0","0","20","1","0","11","0"
"1998-01-30 06:30:00.0","0","0","0","0","0","13","0","0","0","0"
"1998-01-30 06:40:00.0","0","0","9","0","0","31","4","0","6","0"
"1998-01-30 06:50:00.0","0","0","25","10","18","82","17","0","18","0"
"1998-01-30 07:00:00.0","0","0","22","16","0","59","16","0","14","0"
"1998-01-30 07:10:00.0","0","0","15","0","0","37","15","0","0","0"
"1998-01-30 07:20:00.0","0","0","0","0","0","15","1","0","2","0"
"1998-01-30 07:30:00.0","0","0","0","0","0","25","0","0","18","0"
"1998-01-30 07:40:00.0","0","0","0","0","0","23","0","0","15","0"
"1998-01-30 07:50:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 08:00:00.0","0","0","0","0","0","13","0","0","3","0"
"1998-01-30 08:10:00.0","0","0","14","0","0","39","0","0","17","0"
"1998-01-30 08:20:00.0","0","0","24","0","0","47","0","0","18","0"
"1998-01-30 08:30:00.0","0","0","23","0","0","30","0","0","0","0"
"1998-01-30 08:40:00.0","0","0","6","0","0","16","0","0","0","0"
"1998-01-30 08:50:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-30 09:00:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-30 09:10:00.0","0","0","0","0","40","53","0","0","1","0"
"1998-01-30 09:20:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 09:30:00.0","0","0","1","0","0","104","10","0","16","68"
"1998-01-30 09:40:00.0","0","0","24","0","0","411","13","0","17","349"
"1998-01-30 09:50:00.0","0","0","22","0","0","67","13","0","3","21"
"1998-01-30 10:00:00.0","0","0","23","0","0","74","10","0","0","36"
"1998-01-30 10:10:00.0","0","0","2","0","0","73","13","0","14","37"
"1998-01-30 10:20:00.0","0","0","0","0","0","72","13","0","17","35"
"1998-01-30 10:30:00.0","0","0","0","0","0","64","11","0","6","39"
"1998-01-30 10:40:00.0","0","0","0","0","0","22","13","0","0","0"
"1998-01-30 10:50:00.0","0","0","0","0","32","56","2","0","12","0"
"1998-01-30 11:00:00.0","0","0","9","0","0","45","0","9","18","0"
"1998-01-30 11:10:00.0","0","0","24","0","0","49","0","11","8","0"
"1998-01-30 11:20:00.0","0","0","23","0","0","41","0","10","0","0"
"1998-01-30 11:30:00.0","0","0","12","0","0","41","0","11","9","0"
"1998-01-30 11:40:00.0","0","0","0","0","0","32","0","6","18","0"
"1998-01-30 11:50:00.0","0","0","0","0","0","19","0","0","11","0"
"1998-01-30 12:00:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 12:10:00.0","0","0","0","0","0","16","0","0","6","0"
"1998-01-30 12:20:00.0","0","0","1","0","19","48","0","0","18","0"
"1998-01-30 12:30:00.0","0","0","25","0","4","52","0","0","17","0"
"1998-01-30 12:40:00.0","0","0","23","0","0","30","0","0","0","0"
"1998-01-30 12:50:00.0","0","0","23","0","0","31","0","0","0","0"
"1998-01-30 13:00:00.0","0","0","7","0","0","33","0","0","18","0"
"1998-01-30 13:10:00.0","0","0","0","0","0","35","0","9","18","0"
"1998-01-30 13:20:00.0","0","0","0","0","0","20","0","9","1","0"
"1998-01-30 13:30:00.0","0","0","0","0","33","54","0","10","0","0"
"1998-01-30 13:40:00.0","0","0","0","0","0","49","1","8","16","12"
"1998-01-30 13:50:00.0","0","0","7","0","29","419","9","9","18","339"
"1998-01-30 14:00:00.0","0","0","24","0","0","130","0","8","4","85"
"1998-01-30 14:10:00.0","0","0","24","0","0","62","0","9","0","22"
"1998-01-30 14:20:00.0","0","0","20","0","0","89","0","8","13","41"
"1998-01-30 14:30:00.0","0","0","0","0","17","91","0","9","18","40"
"1998-01-30 14:40:00.0","0","0","0","0","0","74","0","9","7","49"
"1998-01-30 14:50:00.0","0","0","0","0","0","19","0","9","0","0"
"1998-01-30 15:00:00.0","0","0","0","0","0","30","0","10","10","0"
"1998-01-30 15:10:00.0","0","0","7","0","0","41","0","9","18","0"
"1998-01-30 15:20:00.0","0","0","23","0","0","48","1","9","9","0"
"1998-01-30 15:30:00.0","0","0","22","0","0","46","9","7","0","0"
"1998-01-30 15:40:00.0","0","0","18","0","0","34","0","0","8","0"
"1998-01-30 15:50:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-30 16:00:00.0","0","0","0","0","0","32","10","0","10","0"
"1998-01-30 16:10:00.0","0","0","0","0","0","14","0","0","1","0"
"1998-01-30 16:20:00.0","0","0","0","0","0","21","0","0","7","0"
"1998-01-30 16:30:00.0","0","0","0","0","0","27","0","0","18","0"
"1998-01-30 16:40:00.0","0","0","14","0","0","35","0","0","13","0"
"1998-01-30 16:50:00.0","0","0","24","0","0","31","0","0","0","0"
"1998-01-30 17:00:00.0","0","0","22","0","0","35","1","0","3","0"
"1998-01-30 17:10:00.0","0","0","7","0","0","33","2","0","19","0"
"1998-01-30 17:20:00.0","0","0","0","0","0","22","0","0","13","0"
"1998-01-30 17:30:00.0","0","0","0","0","0","10","0","0","1","0"
"1998-01-30 17:40:00.0","0","0","0","0","0","13","0","0","2","0"
"1998-01-30 17:50:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-30 18:00:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-30 18:10:00.0","0","0","21","0","0","29","0","0","0","0"
"1998-01-30 18:20:00.0","0","0","24","0","0","31","0","0","0","0"
"1998-01-30 18:30:00.0","0","0","21","0","0","44","0","0","16","0"
"1998-01-30 18:40:00.0","0","0","4","0","0","29","0","0","17","0"
"1998-01-30 18:50:00.0","0","0","0","0","0","12","0","0","4","0"
"1998-01-30 19:00:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 19:10:00.0","0","0","0","0","0","22","0","0","13","0"
"1998-01-30 19:20:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-30 19:30:00.0","0","0","0","0","0","16","0","0","7","0"
"1998-01-30 19:40:00.0","0","0","11","0","0","21","0","0","0","0"
"1998-01-30 19:50:00.0","0","0","25","0","0","41","0","0","9","0"
"1998-01-30 20:00:00.0","0","0","22","0","0","45","0","0","18","0"
"1998-01-30 20:10:00.0","0","0","10","0","0","28","0","0","10","0"
"1998-01-30 20:20:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-30 20:30:00.0","0","0","0","0","0","40","20","4","5","0"
"1998-01-30 20:40:00.0","0","0","0","0","0","38","14","0","18","0"
"1998-01-30 20:50:00.0","0","0","0","0","18","54","10","3","13","0"
"1998-01-30 21:00:00.0","0","0","0","0","0","21","2","9","0","0"
"1998-01-30 21:10:00.0","0","0","7","0","0","30","0","9","2","0"
"1998-01-30 21:20:00.0","0","0","25","0","0","58","1","10","18","0"
"1998-01-30 21:30:00.0","0","0","23","0","0","55","0","8","17","0"
"1998-01-30 21:40:00.0","0","0","13","0","0","31","0","9","0","0"
"1998-01-30 21:50:00.0","0","0","1","0","0","20","0","10","0","0"
"1998-01-30 22:00:00.0","0","0","0","0","0","35","0","9","17","0"
"1998-01-30 22:10:00.0","0","0","0","0","0","34","0","9","17","0"
"1998-01-30 22:20:00.0","0","0","0","0","0","14","1","1","2","0"
"1998-01-30 22:30:00.0","0","0","0","0","0","11","1","0","0","0"
"1998-01-30 22:40:00.0","0","0","0","0","0","25","0","0","15","0"
"1998-01-30 22:50:00.0","0","0","25","0","0","48","0","0","18","0"
"1998-01-30 23:00:00.0","0","0","23","0","0","36","0","0","5","0"
"1998-01-30 23:10:00.0","0","0","18","0","0","26","0","0","0","0"
"1998-01-30 23:20:00.0","0","0","0","0","0","20","0","0","11","0"
"1998-01-30 23:30:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-30 23:40:00.0","0","0","0","0","0","18","0","0","9","0"
"1998-01-30 23:50:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-31 00:00:00.0","0","0","0","0","0","16","0","0","6","0"
"1998-01-31 00:10:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-31 00:20:00.0","0","0","22","0","0","42","0","0","12","0"
"1998-01-31 00:30:00.0","0","0","24","0","0","32","0","0","0","0"
"1998-01-31 00:40:00.0","0","0","20","0","0","32","0","0","5","0"
"1998-01-31 00:50:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-31 01:00:00.0","0","0","0","0","0","24","0","0","15","0"
"1998-01-31 01:10:00.0","0","0","0","0","0","10","0","0","6","0"
"1998-01-31 01:20:00.0","0","0","0","0","0","10","0","0","6","0"
"1998-01-31 01:30:00.0","0","0","0","0","0","27","0","0","7","0"
"1998-01-31 01:40:00.0","0","0","0","0","0","25","0","0","17","0"
"1998-01-31 01:50:00.0","0","0","22","0","0","31","0","0","1","0"
"1998-01-31 02:00:00.0","0","0","24","0","0","32","0","0","0","0"
"1998-01-31 02:10:00.0","0","0","19","0","0","42","0","0","16","0"
"1998-01-31 02:20:00.0","0","0","0","0","0","25","0","0","18","0"
"1998-01-31 02:30:00.0","0","0","0","0","0","12","0","0","2","0"
"1998-01-31 02:40:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-31 02:50:00.0","0","0","0","0","0","24","0","0","15","0"
"1998-01-31 03:00:00.0","0","0","0","0","0","26","0","0","17","0"
"1998-01-31 03:10:00.0","0","0","1","0","0","15","0","0","4","0"
"1998-01-31 03:20:00.0","0","0","25","0","0","33","0","0","0","0"
"1998-01-31 03:30:00.0","0","0","23","0","0","43","0","0","13","0"
"1998-01-31 03:40:00.0","0","0","20","0","0","43","0","0","18","0"
"1998-01-31 03:50:00.0","0","0","0","0","0","17","0","0","7","0"
"1998-01-31 04:00:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-31 04:10:00.0","0","0","0","0","0","19","0","0","9","0"
"1998-01-31 04:20:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-31 04:30:00.0","0","0","0","0","0","18","0","0","10","0"
"1998-01-31 04:40:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-31 04:50:00.0","0","0","19","0","0","34","0","0","7","0"
"1998-01-31 05:00:00.0","0","0","24","0","0","48","0","0","18","0"
"1998-01-31 05:10:00.0","0","0","22","0","0","40","0","0","10","0"
"1998-01-31 05:20:00.0","0","0","4","0","0","13","0","0","0","0"
"1998-01-31 05:30:00.0","0","0","0","0","0","16","0","0","7","0"
"1998-01-31 05:40:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-31 05:50:00.0","0","0","0","0","0","21","0","0","12","0"
"1998-01-31 06:00:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-31 06:10:00.0","0","0","0","0","0","15","0","0","4","0"
"1998-01-31 06:20:00.0","0","0","11","0","0","36","0","0","18","0"
"1998-01-31 06:30:00.0","0","0","25","0","0","48","0","0","18","0"
"1998-01-31 06:40:00.0","0","0","22","0","0","44","0","0","16","0"
"1998-01-31 06:50:00.0","0","0","11","0","0","21","0","0","2","0"
"1998-01-31 07:00:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-31 07:10:00.0","0","0","0","0","0","17","0","0","7","0"
"1998-01-31 07:20:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-31 07:30:00.0","0","0","0","0","0","18","0","0","9","0"
"1998-01-31 07:40:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-31 07:50:00.0","0","0","3","0","0","19","0","0","6","0"
"1998-01-31 08:00:00.0","0","0","24","0","0","48","0","0","18","0"
"1998-01-31 08:10:00.0","0","0","24","0","0","43","0","0","12","0"
"1998-01-31 08:20:00.0","0","0","19","0","0","27","2","0","0","0"
"1998-01-31 08:30:00.0","0","0","0","0","0","21","7","0","4","0"
"1998-01-31 08:40:00.0","0","0","0","0","0","38","13","0","18","0"
"1998-01-31 08:50:00.0","0","0","0","0","0","36","13","0","14","0"
"1998-01-31 09:00:00.0","0","0","0","0","18","34","4","1","0","0"
"1998-01-31 09:10:00.0","0","0","0","0","0","20","0","9","1","0"
"1998-01-31 09:20:00.0","0","0","1","0","0","35","0","8","18","0"
