"Time","Chest freezer (Garage, 200l)","Clothes drier (without condenser) (5kg)","Electric Cooker (hot plate+oven) ()","Halogen lamp 1 ()","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","Washing machine (5kg)","Water heater ()"
"1998-01-25 19:50:00.0","9","0","0","0","0","0","140","0","0","0"
"1998-01-25 20:00:00.0","2","0","0","0","0","0","135","0","0","0"
"1998-01-25 20:10:00.0","9","0","0","0","0","0","166","0","0","0"
"1998-01-25 20:20:00.0","0","0","0","0","0","0","157","0","0","0"
"1998-01-25 20:30:00.0","12","0","0","0","0","0","150","0","0","0"
"1998-01-25 20:40:00.0","0","0","0","0","0","0","147","0","0","0"
"1998-01-25 20:50:00.0","11","0","0","0","0","0","159","0","0","0"
"1998-01-25 21:00:00.0","1","0","0","0","0","0","156","0","0","0"
"1998-01-25 21:10:00.0","12","0","0","0","0","0","171","2","0","0"
"1998-01-25 21:20:00.0","0","0","0","0","0","0","391","142","3","0"
"1998-01-25 21:30:00.0","13","0","0","0","1","0","509","188","76","0"
"1998-01-25 21:40:00.0","0","0","0","0","10","0","354","169","0","0"
"1998-01-25 21:50:00.0","12","124","0","0","10","0","414","119","0","0"
"1998-01-25 22:00:00.0","0","340","0","0","10","0","621","113","0","0"
"1998-01-25 22:10:00.0","11","257","0","0","11","0","493","62","0","0"
"1998-01-25 22:20:00.0","2","200","0","0","10","0","435","76","0","0"
"1998-01-25 22:30:00.0","11","199","0","0","10","0","371","0","0","0"
"1998-01-25 22:40:00.0","2","203","0","0","3","0","470","2","0","0"
"1998-01-25 22:50:00.0","11","182","0","0","0","0","450","0","0","0"
"1998-01-25 23:00:00.0","2","178","0","0","0","0","439","0","0","0"
"1998-01-25 23:10:00.0","10","182","0","0","0","0","446","0","0","0"
"1998-01-25 23:20:00.0","3","173","0","0","0","0","434","0","0","0"
"1998-01-25 23:30:00.0","11","170","0","0","0","0","425","0","0","0"
"1998-01-25 23:40:00.0","3","159","0","0","0","0","462","32","0","0"
"1998-01-25 23:50:00.0","11","173","0","0","0","0","449","0","0","0"
"1998-01-26 00:00:00.0","3","146","0","0","0","0","402","8","0","0"
"1998-01-26 00:10:00.0","11","113","0","0","0","0","364","0","0","0"
"1998-01-26 00:20:00.0","3","83","0","0","0","0","378","0","0","0"
"1998-01-26 00:30:00.0","14","23","0","0","0","0","305","0","0","0"
"1998-01-26 00:40:00.0","0","0","0","0","0","0","267","0","0","0"
"1998-01-26 00:50:00.0","14","0","0","0","0","0","288","0","0","0"
"1998-01-26 01:00:00.0","0","0","0","0","0","0","280","0","0","0"
"1998-01-26 01:10:00.0","13","0","0","0","0","0","285","0","0","0"
"1998-01-26 01:20:00.0","1","0","0","0","0","0","258","0","0","0"
"1998-01-26 01:30:00.0","13","0","0","0","0","0","276","0","0","0"
"1998-01-26 01:40:00.0","0","0","0","0","0","0","257","0","0","0"
"1998-01-26 01:50:00.0","13","0","0","0","0","0","271","0","0","7"
"1998-01-26 02:00:00.0","0","0","0","0","0","0","630","0","0","382"
"1998-01-26 02:10:00.0","12","0","0","0","0","0","644","0","0","381"
"1998-01-26 02:20:00.0","0","0","0","0","0","0","619","0","0","378"
"1998-01-26 02:30:00.0","13","0","0","0","0","0","625","0","0","380"
"1998-01-26 02:40:00.0","0","0","0","0","0","0","611","0","0","381"
"1998-01-26 02:50:00.0","12","0","0","0","0","0","618","0","0","381"
"1998-01-26 03:00:00.0","1","0","0","0","0","0","619","0","0","383"
"1998-01-26 03:10:00.0","11","0","0","0","0","0","626","0","0","383"
"1998-01-26 03:20:00.0","2","0","0","0","0","0","626","0","0","384"
"1998-01-26 03:30:00.0","10","0","0","0","0","0","641","0","0","377"
"1998-01-26 03:40:00.0","2","0","0","0","0","0","625","15","0","376"
"1998-01-26 03:50:00.0","10","0","0","0","0","0","661","43","0","376"
"1998-01-26 04:00:00.0","2","0","0","0","0","0","698","85","0","323"
"1998-01-26 04:10:00.0","10","0","0","0","0","0","360","73","0","0"
"1998-01-26 04:20:00.0","3","0","0","0","0","0","616","4","0","310"
"1998-01-26 04:30:00.0","8","0","0","0","0","0","271","0","0","0"
"1998-01-26 04:40:00.0","4","0","0","0","0","0","305","0","0","36"
"1998-01-26 04:50:00.0","8","0","0","0","0","0","496","0","0","224"
"1998-01-26 05:00:00.0","4","0","0","0","0","0","263","0","0","0"
"1998-01-26 05:10:00.0","7","0","0","0","0","0","247","0","0","0"
"1998-01-26 05:20:00.0","6","0","0","0","0","0","250","0","0","0"
"1998-01-26 05:30:00.0","5","0","0","0","0","0","254","0","0","0"
"1998-01-26 05:40:00.0","7","0","0","0","0","0","253","0","0","0"
"1998-01-26 05:50:00.0","3","0","0","0","0","0","244","0","0","0"
"1998-01-26 06:00:00.0","9","0","0","0","0","0","266","0","0","0"
"1998-01-26 06:10:00.0","2","0","0","0","0","0","269","0","0","0"
"1998-01-26 06:20:00.0","10","0","0","0","0","0","267","0","0","0"
"1998-01-26 06:30:00.0","1","0","0","0","0","0","591","87","0","242"
"1998-01-26 06:40:00.0","11","0","0","0","0","0","806","160","0","380"
"1998-01-26 06:50:00.0","0","0","0","0","0","0","779","163","0","378"
"1998-01-26 07:00:00.0","12","0","0","0","0","0","776","155","0","374"
"1998-01-26 07:10:00.0","0","0","0","0","0","0","1091","156","372","364"
"1998-01-26 07:20:00.0","11","0","0","0","0","0","1089","117","447","358"
"1998-01-26 07:30:00.0","0","0","0","0","0","0","712","104","35","365"
"1998-01-26 07:40:00.0","11","0","0","0","0","0","724","97","26","375"
"1998-01-26 07:50:00.0","0","0","0","0","0","0","348","68","27","90"
"1998-01-26 08:00:00.0","11","0","0","0","0","0","239","7","43","0"
"1998-01-26 08:10:00.0","0","0","0","0","0","0","213","0","62","0"
"1998-01-26 08:20:00.0","10","0","0","0","0","0","184","0","28","0"
"1998-01-26 08:30:00.0","2","0","0","0","0","0","155","0","0","0"
"1998-01-26 08:40:00.0","6","0","0","0","0","0","155","0","0","0"
"1998-01-26 08:50:00.0","5","0","0","0","0","0","173","0","0","0"
"1998-01-26 09:00:00.0","5","0","0","0","0","0","168","0","0","0"
"1998-01-26 09:10:00.0","7","0","0","0","0","0","149","0","0","0"
"1998-01-26 09:20:00.0","2","0","0","0","0","0","151","0","0","0"
"1998-01-26 09:30:00.0","10","0","0","0","0","0","161","0","0","0"
"1998-01-26 09:40:00.0","0","0","0","0","0","0","147","0","0","0"
"1998-01-26 09:50:00.0","11","0","0","0","0","0","168","0","0","0"
"1998-01-26 10:00:00.0","0","0","0","0","0","0","154","0","0","0"
"1998-01-26 10:10:00.0","12","0","0","0","0","0","167","0","0","0"
"1998-01-26 10:20:00.0","0","0","0","0","0","0","183","0","0","0"
"1998-01-26 10:30:00.0","12","0","0","0","0","0","169","0","0","0"
"1998-01-26 10:40:00.0","0","0","0","0","0","0","147","0","0","0"
"1998-01-26 10:50:00.0","11","0","0","0","0","0","162","0","0","0"
"1998-01-26 11:00:00.0","1","0","0","0","0","0","162","0","0","0"
"1998-01-26 11:10:00.0","8","0","0","0","0","0","154","0","0","0"
"1998-01-26 11:20:00.0","4","0","0","0","0","0","151","0","0","0"
"1998-01-26 11:30:00.0","5","0","0","0","0","0","167","0","0","0"
"1998-01-26 11:40:00.0","6","0","0","0","0","0","164","0","0","0"
"1998-01-26 11:50:00.0","3","0","0","0","0","0","173","0","0","0"
"1998-01-26 12:00:00.0","9","0","0","0","0","0","169","0","0","0"
"1998-01-26 12:10:00.0","1","0","0","0","0","0","150","0","0","0"
"1998-01-26 12:20:00.0","11","0","0","0","0","0","159","0","0","0"
"1998-01-26 12:30:00.0","0","0","0","0","0","0","159","0","0","0"
"1998-01-26 12:40:00.0","12","0","0","0","0","0","155","0","0","0"
"1998-01-26 12:50:00.0","0","0","0","0","0","0","150","0","0","7"
"1998-01-26 13:00:00.0","12","0","0","0","0","0","508","0","0","347"
"1998-01-26 13:10:00.0","0","0","0","0","0","0","226","0","0","36"
"1998-01-26 13:20:00.0","12","0","0","0","0","0","478","0","39","225"
"1998-01-26 13:30:00.0","0","0","0","0","0","0","228","0","43","0"
"1998-01-26 13:40:00.0","11","0","0","0","0","0","380","0","0","170"
"1998-01-26 13:50:00.0","1","0","0","0","0","0","356","0","0","151"
"1998-01-26 14:00:00.0","9","0","0","0","0","0","195","0","0","0"
"1998-01-26 14:10:00.0","3","379","0","0","0","0","696","0","0","152"
"1998-01-26 14:20:00.0","7","293","0","0","0","0","571","17","0","54"
"1998-01-26 14:30:00.0","4","334","0","0","0","0","527","25","0","0"
"1998-01-26 14:40:00.0","4","228","0","0","0","0","606","8","0","217"
"1998-01-26 14:50:00.0","7","238","0","0","0","0","453","0","0","32"
"1998-01-26 15:00:00.0","1","239","0","0","0","0","405","0","0","0"
"1998-01-26 15:10:00.0","11","201","0","0","0","0","388","0","0","0"
"1998-01-26 15:20:00.0","0","195","0","0","0","0","363","2","0","0"
"1998-01-26 15:30:00.0","11","233","0","0","0","0","492","0","0","0"
"1998-01-26 15:40:00.0","0","221","0","0","0","0","396","0","0","0"
"1998-01-26 15:50:00.0","12","186","0","0","0","0","344","3","0","0"
"1998-01-26 16:00:00.0","0","156","0","0","0","0","313","20","0","0"
"1998-01-26 16:10:00.0","12","26","0","0","0","0","174","0","0","0"
"1998-01-26 16:20:00.0","0","0","0","0","0","0","132","0","0","0"
"1998-01-26 16:30:00.0","11","0","0","0","0","0","155","0","0","0"
"1998-01-26 16:40:00.0","1","0","0","0","0","0","125","0","0","0"
"1998-01-26 16:50:00.0","10","0","0","0","0","0","179","0","0","0"
"1998-01-26 17:00:00.0","2","0","0","0","0","0","118","0","0","0"
"1998-01-26 17:10:00.0","8","0","0","0","0","0","127","0","0","0"
"1998-01-26 17:20:00.0","4","0","0","0","0","0","112","0","0","0"
"1998-01-26 17:30:00.0","6","0","0","0","0","0","101","0","0","0"
"1998-01-26 17:40:00.0","6","0","0","0","0","0","120","0","0","0"
"1998-01-26 17:50:00.0","4","0","0","0","0","0","87","0","0","0"
"1998-01-26 18:00:00.0","8","0","0","0","0","0","121","0","0","0"
"1998-01-26 18:10:00.0","2","0","0","0","0","0","129","9","0","0"
"1998-01-26 18:20:00.0","10","0","0","0","0","0","396","150","0","0"
"1998-01-26 18:30:00.0","0","0","225","0","3","0","552","120","0","0"
"1998-01-26 18:40:00.0","12","0","263","0","10","0","577","158","0","0"
"1998-01-26 18:50:00.0","0","0","259","0","9","0","626","160","0","0"
"1998-01-26 19:00:00.0","11","0","348","0","10","0","723","209","0","0"
"1998-01-26 19:10:00.0","0","0","174","0","10","0","447","136","0","0"
"1998-01-26 19:20:00.0","13","0","0","0","10","0","299","88","0","0"
"1998-01-26 19:30:00.0","0","0","0","0","10","0","298","151","0","0"
"1998-01-26 19:40:00.0","13","0","0","0","10","0","330","172","0","0"
"1998-01-26 19:50:00.0","0","0","0","0","10","0","219","98","0","0"
"1998-01-26 20:00:00.0","12","0","0","0","10","0","185","38","0","0"
"1998-01-26 20:10:00.0","0","0","0","0","10","0","206","47","0","0"
"1998-01-26 20:20:00.0","12","0","0","0","10","0","243","70","0","0"
"1998-01-26 20:30:00.0","0","0","0","0","10","0","170","16","0","0"
"1998-01-26 20:40:00.0","13","0","0","0","11","0","184","0","0","0"
"1998-01-26 20:50:00.0","0","0","0","0","10","0","132","0","0","0"
"1998-01-26 21:00:00.0","12","0","0","0","10","0","140","0","0","0"
"1998-01-26 21:10:00.0","1","0","0","0","11","0","143","0","0","0"
"1998-01-26 21:20:00.0","10","0","0","0","10","0","141","0","0","0"
"1998-01-26 21:30:00.0","3","0","0","0","10","0","141","0","0","0"
"1998-01-26 21:40:00.0","9","0","0","0","11","0","154","0","0","0"
"1998-01-26 21:50:00.0","4","0","0","0","10","0","142","0","0","0"
"1998-01-26 22:00:00.0","7","0","0","0","10","0","164","0","0","0"
"1998-01-26 22:10:00.0","6","0","0","0","10","0","176","0","0","0"
"1998-01-26 22:20:00.0","6","0","0","0","10","0","173","5","0","0"
"1998-01-26 22:30:00.0","6","0","0","0","10","0","163","0","0","0"
"1998-01-26 22:40:00.0","5","0","0","0","9","0","219","44","0","0"
"1998-01-26 22:50:00.0","8","0","0","0","0","0","152","0","0","0"
"1998-01-26 23:00:00.0","4","0","0","0","0","0","127","0","0","0"
"1998-01-26 23:10:00.0","9","0","0","0","0","0","137","0","0","0"
"1998-01-26 23:20:00.0","2","0","0","0","0","0","147","0","0","0"
"1998-01-26 23:30:00.0","11","0","0","0","0","0","140","0","0","0"
"1998-01-26 23:40:00.0","1","0","0","0","0","0","136","0","0","0"
"1998-01-26 23:50:00.0","12","0","0","0","0","0","157","0","0","0"
"1998-01-27 00:00:00.0","0","0","0","0","0","0","128","0","0","0"
"1998-01-27 00:10:00.0","12","0","0","0","0","0","131","0","0","0"
"1998-01-27 00:20:00.0","0","0","0","0","0","0","130","0","0","0"
"1998-01-27 00:30:00.0","12","0","0","0","0","0","127","0","0","0"
"1998-01-27 00:40:00.0","0","0","0","0","0","0","122","0","0","0"
"1998-01-27 00:50:00.0","13","0","0","0","0","0","140","0","0","0"
"1998-01-27 01:00:00.0","0","0","0","0","0","0","136","0","0","0"
"1998-01-27 01:10:00.0","12","0","0","0","0","0","149","0","0","0"
"1998-01-27 01:20:00.0","0","0","0","0","0","0","121","0","0","0"
"1998-01-27 01:30:00.0","13","0","0","0","0","0","140","0","0","0"
"1998-01-27 01:40:00.0","0","0","0","0","0","0","117","0","0","0"
"1998-01-27 01:50:00.0","12","0","0","0","0","0","135","0","0","8"
"1998-01-27 02:00:00.0","0","0","0","0","0","0","505","0","0","384"
"1998-01-27 02:10:00.0","10","0","0","0","0","0","504","0","0","384"
"1998-01-27 02:20:00.0","2","0","0","0","0","0","522","0","0","387"
"1998-01-27 02:30:00.0","9","0","0","0","0","0","524","0","0","391"
"1998-01-27 02:40:00.0","4","0","0","0","0","0","517","0","0","389"
"1998-01-27 02:50:00.0","7","0","0","0","0","0","505","0","0","388"
"1998-01-27 03:00:00.0","5","0","0","0","0","0","501","0","0","387"
"1998-01-27 03:10:00.0","5","0","0","0","0","0","511","0","0","385"
"1998-01-27 03:20:00.0","7","0","0","0","0","0","466","0","0","343"
"1998-01-27 03:30:00.0","3","0","0","0","0","0","120","0","0","0"
"1998-01-27 03:40:00.0","9","0","0","0","0","0","447","7","0","299"
"1998-01-27 03:50:00.0","2","0","0","0","0","0","409","16","0","268"
"1998-01-27 04:00:00.0","10","0","0","0","0","0","302","62","0","118"
"1998-01-27 04:10:00.0","0","0","0","0","0","0","509","71","0","192"
"1998-01-27 04:20:00.0","13","0","0","0","0","0","235","11","0","0"
"1998-01-27 04:30:00.0","0","0","0","0","0","0","374","0","0","224"
"1998-01-27 04:40:00.0","12","0","0","0","0","0","169","0","0","0"
"1998-01-27 04:50:00.0","0","0","0","0","0","0","143","0","0","0"
"1998-01-27 05:00:00.0","13","0","0","0","0","0","192","0","0","0"
"1998-01-27 05:10:00.0","0","0","0","0","0","0","160","0","0","0"
"1998-01-27 05:20:00.0","12","0","0","0","0","0","170","0","0","0"
"1998-01-27 05:30:00.0","0","0","0","0","0","0","175","0","0","0"
"1998-01-27 05:40:00.0","11","0","0","0","0","0","168","0","0","0"
"1998-01-27 05:50:00.0","1","0","0","0","0","0","182","0","0","0"
"1998-01-27 06:00:00.0","9","0","0","0","0","0","178","0","0","0"
"1998-01-27 06:10:00.0","3","0","0","0","0","0","179","0","0","0"
"1998-01-27 06:20:00.0","7","0","0","0","0","0","206","0","0","0"
"1998-01-27 06:30:00.0","5","0","0","0","0","0","323","102","0","0"
"1998-01-27 06:40:00.0","5","0","0","0","0","0","475","132","0","176"
"1998-01-27 06:50:00.0","7","0","0","0","0","0","661","113","0","250"
"1998-01-27 07:00:00.0","2","0","0","0","0","0","439","111","0","0"
"1998-01-27 07:10:00.0","10","0","0","0","0","0","873","93","0","331"
"1998-01-27 07:20:00.0","0","0","0","0","0","0","952","90","0","367"
"1998-01-27 07:30:00.0","12","0","0","0","0","0","726","85","0","125"
"1998-01-27 07:40:00.0","0","0","0","0","0","0","636","89","0","234"
"1998-01-27 07:50:00.0","13","0","0","0","0","0","328","13","0","31"
"1998-01-27 08:00:00.0","0","0","0","0","0","0","301","6","0","0"
"1998-01-27 08:10:00.0","12","0","0","0","0","0","243","0","0","0"
"1998-01-27 08:20:00.0","0","0","0","0","0","0","231","0","0","0"
"1998-01-27 08:30:00.0","11","0","0","0","0","0","237","0","0","0"
"1998-01-27 08:40:00.0","1","0","0","0","0","0","231","0","0","0"
"1998-01-27 08:50:00.0","8","0","0","0","0","0","239","0","0","0"
"1998-01-27 09:00:00.0","4","0","0","0","0","0","241","0","0","0"
"1998-01-27 09:10:00.0","5","0","0","0","0","0","261","0","0","0"
"1998-01-27 09:20:00.0","6","0","0","0","0","0","249","0","0","0"
"1998-01-27 09:30:00.0","3","0","0","0","0","0","239","0","0","0"
"1998-01-27 09:40:00.0","9","0","0","0","0","0","247","0","0","0"
"1998-01-27 09:50:00.0","0","0","0","0","0","0","238","0","0","0"
"1998-01-27 10:00:00.0","12","0","0","0","0","0","249","0","0","0"
"1998-01-27 10:10:00.0","0","0","0","0","0","0","239","0","0","0"
"1998-01-27 10:20:00.0","11","0","0","0","0","0","242","0","0","0"
"1998-01-27 10:30:00.0","0","0","0","0","0","0","234","0","0","0"
"1998-01-27 10:40:00.0","12","0","0","0","0","0","261","0","0","0"
"1998-01-27 10:50:00.0","0","0","0","0","0","0","227","0","0","0"
"1998-01-27 11:00:00.0","12","0","0","0","0","0","227","0","0","0"
"1998-01-27 11:10:00.0","0","0","0","0","0","0","216","0","0","0"
"1998-01-27 11:20:00.0","9","0","0","0","0","0","227","0","0","0"
"1998-01-27 11:30:00.0","3","0","0","0","0","0","217","0","0","0"
"1998-01-27 11:40:00.0","7","0","0","0","0","0","220","0","0","0"
"1998-01-27 11:50:00.0","5","0","0","0","0","0","223","0","0","0"
"1998-01-27 12:00:00.0","4","0","0","0","0","0","225","0","0","0"
"1998-01-27 12:10:00.0","8","0","0","0","0","0","240","0","0","0"
"1998-01-27 12:20:00.0","2","0","0","0","0","0","226","0","0","0"
"1998-01-27 12:30:00.0","10","0","0","0","0","0","214","0","0","0"
"1998-01-27 12:40:00.0","0","0","0","0","0","0","214","0","0","0"
"1998-01-27 12:50:00.0","12","0","0","0","0","0","228","0","0","7"
"1998-01-27 13:00:00.0","0","0","0","0","0","0","389","0","0","203"
"1998-01-27 13:10:00.0","12","0","0","0","0","0","210","0","0","0"
"1998-01-27 13:20:00.0","0","0","0","0","0","0","183","0","0","0"
"1998-01-27 13:30:00.0","12","0","0","0","0","0","239","1","0","0"
"1998-01-27 13:40:00.0","0","0","0","0","0","0","965","0","0","339"
"1998-01-27 13:50:00.0","11","0","0","0","0","0","505","0","0","0"
"1998-01-27 14:00:00.0","0","0","0","0","0","0","523","0","0","0"
"1998-01-27 14:10:00.0","10","0","0","0","0","0","468","0","0","154"
"1998-01-27 14:20:00.0","2","0","0","0","0","0","390","0","0","30"
"1998-01-27 14:30:00.0","7","0","0","0","0","0","471","0","0","0"
"1998-01-27 14:40:00.0","5","0","0","0","0","0","160","0","0","0"
"1998-01-27 14:50:00.0","5","0","0","0","0","0","92","0","0","0"
"1998-01-27 15:00:00.0","7","0","0","0","0","0","106","0","0","0"
"1998-01-27 15:10:00.0","3","0","0","0","0","0","98","0","0","0"
"1998-01-27 15:20:00.0","9","0","0","0","0","0","82","0","0","0"
"1998-01-27 15:30:00.0","1","0","0","0","0","0","78","0","0","0"
"1998-01-27 15:40:00.0","12","0","0","0","0","0","148","0","0","0"
"1998-01-27 15:50:00.0","0","0","0","0","0","0","118","0","0","0"
"1998-01-27 16:00:00.0","12","0","0","0","0","0","179","0","0","0"
"1998-01-27 16:10:00.0","0","0","0","0","0","0","148","0","0","0"
"1998-01-27 16:20:00.0","12","0","0","0","0","0","166","0","0","0"
"1998-01-27 16:30:00.0","0","0","0","0","0","0","152","0","0","0"
"1998-01-27 16:40:00.0","11","0","0","0","0","0","142","2","0","0"
"1998-01-27 16:50:00.0","0","0","0","0","0","0","166","17","0","0"
"1998-01-27 17:00:00.0","10","0","0","0","0","0","164","26","0","0"
"1998-01-27 17:10:00.0","2","0","0","0","0","0","146","19","0","0"
"1998-01-27 17:20:00.0","7","0","0","0","0","0","152","48","0","0"
"1998-01-27 17:30:00.0","5","0","0","0","0","0","188","48","0","0"
"1998-01-27 17:40:00.0","5","0","0","0","0","0","210","46","0","0"
"1998-01-27 17:50:00.0","7","0","0","0","0","0","246","72","0","0"
"1998-01-27 18:00:00.0","3","0","0","0","8","0","274","105","0","0"
"1998-01-27 18:10:00.0","10","0","0","0","10","0","372","162","0","0"
"1998-01-27 18:20:00.0","4","0","0","0","10","0","310","171","0","0"
"1998-01-27 18:30:00.0","14","0","0","0","10","0","295","101","0","0"
"1998-01-27 18:40:00.0","0","0","0","0","9","0","189","70","0","0"
"1998-01-27 18:50:00.0","14","0","0","0","10","0","203","88","0","0"
"1998-01-27 19:00:00.0","0","0","0","0","10","0","265","82","0","0"
"1998-01-27 19:10:00.0","13","0","0","0","10","0","248","71","0","0"
"1998-01-27 19:20:00.0","0","0","0","0","10","0","256","79","0","0"
"1998-01-27 19:30:00.0","13","0","0","0","11","0","321","131","0","0"
"1998-01-27 19:40:00.0","0","0","0","0","10","0","282","111","0","0"
"1998-01-27 19:50:00.0","13","0","0","0","10","0","391","119","0","0"
"1998-01-27 20:00:00.0","0","0","0","0","10","0","251","74","0","0"
"1998-01-27 20:10:00.0","12","0","0","0","10","0","209","76","0","0"
"1998-01-27 20:20:00.0","1","0","0","0","11","0","204","28","0","0"
"1998-01-27 20:30:00.0","11","0","0","0","10","0","171","14","0","0"
"1998-01-27 20:40:00.0","3","0","0","0","10","0","359","7","0","0"
"1998-01-27 20:50:00.0","9","0","0","0","11","0","324","0","0","0"
"1998-01-27 21:00:00.0","4","0","0","0","10","0","315","0","0","0"
"1998-01-27 21:10:00.0","7","0","0","0","10","0","304","1","0","0"
"1998-01-27 21:20:00.0","6","0","0","0","11","0","319","15","0","0"
"1998-01-27 21:30:00.0","6","0","0","0","10","0","307","0","0","0"
"1998-01-27 21:40:00.0","7","0","0","0","10","0","302","0","0","0"
"1998-01-27 21:50:00.0","4","0","0","0","11","0","306","0","0","0"
"1998-01-27 22:00:00.0","10","0","0","0","8","0","267","6","0","0"
"1998-01-27 22:10:00.0","2","0","0","0","0","0","222","0","0","0"
"1998-01-27 22:20:00.0","11","0","0","0","0","0","223","0","0","0"
"1998-01-27 22:30:00.0","0","0","0","0","0","0","221","0","0","0"
"1998-01-27 22:40:00.0","13","0","0","0","0","0","216","0","0","0"
"1998-01-27 22:50:00.0","0","0","0","0","0","0","212","0","0","0"
"1998-01-27 23:00:00.0","13","0","0","0","0","0","225","0","0","0"
"1998-01-27 23:10:00.0","0","0","0","0","0","0","187","0","0","0"
"1998-01-27 23:20:00.0","13","0","0","0","0","0","187","0","0","0"
"1998-01-27 23:30:00.0","0","0","0","0","0","0","144","0","0","0"
"1998-01-27 23:40:00.0","12","0","0","0","0","0","149","0","0","0"
"1998-01-27 23:50:00.0","1","0","0","0","0","0","155","0","0","0"
"1998-01-28 00:00:00.0","10","0","0","0","0","0","168","0","0","0"
"1998-01-28 00:10:00.0","3","0","0","0","0","0","165","0","0","0"
"1998-01-28 00:20:00.0","8","0","0","0","0","0","174","0","0","0"
"1998-01-28 00:30:00.0","4","0","0","0","0","0","150","0","0","0"
"1998-01-28 00:40:00.0","6","0","0","0","0","0","178","0","0","0"
"1998-01-28 00:50:00.0","6","0","0","0","0","0","154","0","0","0"
"1998-01-28 01:00:00.0","4","0","0","0","0","0","174","0","0","0"
