"Time","Clothes drier (with condenser) ()","Dish washer (12 place setting)","Electric oven ()","Fridge freezer (Kitchen, 182l/48l)","Hot plate (3 gas, 1elec)","Microwave oven (1,35kW)","Site consumption ()","Total site light consumption ()","TV (51cm)","Vertical freezer (Kitchen, 265l)","Washing machine ()"
"1998-01-29 01:20:00.0","0","0","0","19","0","0","66","2","12","20","0"
"1998-01-29 01:30:00.0","0","0","0","19","0","0","51","2","13","2","0"
"1998-01-29 01:40:00.0","0","0","0","19","0","0","52","2","12","2","0"
"1998-01-29 01:50:00.0","0","0","0","18","0","0","66","2","13","20","0"
"1998-01-29 02:00:00.0","0","0","0","19","0","0","56","2","12","8","0"
"1998-01-29 02:10:00.0","0","0","0","19","0","0","40","2","4","0","0"
"1998-01-29 02:20:00.0","0","0","0","18","0","0","52","2","0","18","0"
"1998-01-29 02:30:00.0","0","0","0","19","0","0","49","2","0","14","0"
"1998-01-29 02:40:00.0","0","0","0","19","0","0","37","2","0","0","0"
"1998-01-29 02:50:00.0","0","0","0","18","0","0","48","2","0","12","0"
"1998-01-29 03:00:00.0","0","0","0","18","0","0","53","2","0","19","0"
"1998-01-29 03:10:00.0","0","0","0","19","0","0","36","3","0","0","0"
"1998-01-29 03:20:00.0","0","0","0","18","0","0","44","2","0","7","0"
"1998-01-29 03:30:00.0","0","0","0","18","0","0","54","2","0","20","0"
"1998-01-29 03:40:00.0","0","0","0","19","0","0","39","2","0","3","0"
"1998-01-29 03:50:00.0","0","0","0","18","0","0","40","2","0","3","0"
"1998-01-29 04:00:00.0","0","0","0","18","0","0","54","2","0","21","0"
"1998-01-29 04:10:00.0","0","0","0","19","0","0","43","2","0","7","0"
"1998-01-29 04:20:00.0","0","0","0","18","0","0","37","2","0","0","0"
"1998-01-29 04:30:00.0","0","0","0","18","0","0","53","2","0","19","0"
"1998-01-29 04:40:00.0","0","0","0","18","0","0","47","2","0","12","0"
"1998-01-29 04:50:00.0","0","0","0","18","0","0","38","4","0","0","0"
"1998-01-29 05:00:00.0","0","0","0","18","0","0","50","2","0","14","0"
"1998-01-29 05:10:00.0","0","0","0","18","0","0","50","2","0","16","0"
"1998-01-29 05:20:00.0","0","0","0","18","0","0","36","2","0","0","0"
"1998-01-29 05:30:00.0","0","0","0","18","0","0","46","2","0","10","0"
"1998-01-29 05:40:00.0","0","0","0","18","0","0","53","2","0","20","0"
"1998-01-29 05:50:00.0","0","0","0","18","0","0","37","2","0","1","0"
"1998-01-29 06:00:00.0","0","0","0","18","0","0","42","2","0","5","0"
"1998-01-29 06:10:00.0","0","0","0","18","0","0","53","2","0","21","0"
"1998-01-29 06:20:00.0","0","0","0","18","0","0","40","2","0","5","0"
"1998-01-29 06:30:00.0","0","0","0","18","0","0","38","2","0","1","0"
"1998-01-29 06:40:00.0","0","0","0","18","0","0","53","2","0","20","0"
"1998-01-29 06:50:00.0","0","0","0","17","0","0","44","2","0","10","0"
"1998-01-29 07:00:00.0","0","0","0","18","0","0","36","2","0","0","0"
"1998-01-29 07:10:00.0","0","0","0","18","0","0","50","2","0","16","0"
"1998-01-29 07:20:00.0","0","0","0","17","0","0","58","12","0","15","0"
"1998-01-29 07:30:00.0","0","0","0","1","0","20","50","12","0","0","0"
"1998-01-29 07:40:00.0","0","0","0","0","0","0","42","12","0","11","0"
"1998-01-29 07:50:00.0","0","0","0","0","0","0","52","16","0","20","0"
"1998-01-29 08:00:00.0","0","0","0","0","0","29","64","18","0","1","0"
"1998-01-29 08:10:00.0","0","0","0","0","0","0","65","31","11","6","0"
"1998-01-29 08:20:00.0","0","0","0","0","0","0","69","33","1","20","0"
"1998-01-29 08:30:00.0","0","0","0","0","0","0","40","18","0","6","0"
"1998-01-29 08:40:00.0","0","0","0","0","0","0","49","19","11","0","0"
"1998-01-29 08:50:00.0","0","0","0","0","0","0","65","19","12","21","0"
"1998-01-29 09:00:00.0","0","0","0","0","0","0","56","18","12","10","0"
"1998-01-29 09:10:00.0","0","0","0","5","0","0","45","11","11","0","0"
"1998-01-29 09:20:00.0","0","0","0","26","0","0","54","0","1","16","0"
"1998-01-29 09:30:00.0","0","0","0","22","0","0","49","0","0","15","0"
"1998-01-29 09:40:00.0","0","0","0","20","0","0","34","0","0","0","0"
"1998-01-29 09:50:00.0","0","0","0","20","0","16","73","0","11","11","0"
"1998-01-29 10:00:00.0","0","0","0","19","0","0","64","0","12","20","0"
"1998-01-29 10:10:00.0","0","0","0","19","0","0","47","0","13","1","0"
"1998-01-29 10:20:00.0","0","0","0","19","0","0","53","0","12","7","0"
"1998-01-29 10:30:00.0","0","0","0","18","0","0","64","0","13","19","0"
"1998-01-29 10:40:00.0","0","0","0","18","0","0","52","0","13","5","0"
"1998-01-29 10:50:00.0","0","0","0","18","0","0","51","0","13","3","0"
"1998-01-29 11:00:00.0","0","0","0","19","0","0","64","0","13","21","0"
"1998-01-29 11:10:00.0","0","0","0","18","0","0","55","0","13","9","0"
"1998-01-29 11:20:00.0","0","0","0","18","0","0","48","0","12","0","0"
"1998-01-29 11:30:00.0","0","0","0","18","0","0","64","0","13","18","0"
"1998-01-29 11:40:00.0","0","0","0","18","0","0","64","0","13","20","0"
"1998-01-29 11:50:00.0","0","0","0","18","0","0","64","0","13","19","0"
"1998-01-29 12:00:00.0","0","0","0","18","0","0","52","0","0","5","0"
"1998-01-29 12:10:00.0","0","0","0","18","0","0","29","0","0","5","0"
"1998-01-29 12:20:00.0","0","0","0","18","0","0","40","0","0","20","0"
"1998-01-29 12:30:00.0","0","0","0","18","0","0","31","0","0","10","0"
"1998-01-29 12:40:00.0","0","0","0","17","0","0","22","0","0","0","0"
"1998-01-29 12:50:00.0","0","0","0","18","0","0","41","0","0","20","0"
"1998-01-29 13:00:00.0","0","0","0","18","0","0","38","0","0","20","0"
"1998-01-29 13:10:00.0","0","0","0","10","0","0","33","0","0","19","0"
"1998-01-29 13:20:00.0","274","0","0","0","0","0","452","2","13","1","168"
"1998-01-29 13:30:00.0","363","0","0","0","0","0","693","0","13","10","289"
"1998-01-29 13:40:00.0","371","0","0","0","0","7","442","1","12","20","24"
"1998-01-29 13:50:00.0","121","0","0","0","0","0","177","5","13","6","24"
"1998-01-29 14:00:00.0","25","0","0","0","0","0","67","0","11","4","18"
"1998-01-29 14:10:00.0","0","0","0","0","0","0","54","0","12","20","14"
"1998-01-29 14:20:00.0","0","0","0","0","0","0","42","0","11","10","10"
"1998-01-29 14:30:00.0","0","0","0","0","0","0","37","0","12","0","13"
"1998-01-29 14:40:00.0","0","0","0","0","0","0","61","0","13","21","19"
"1998-01-29 14:50:00.0","0","0","0","0","0","0","56","0","13","13","18"
"1998-01-29 15:00:00.0","0","6","0","0","0","10","45","3","12","0","0"
"1998-01-29 15:10:00.0","0","17","0","0","0","6","68","1","13","15","0"
"1998-01-29 15:20:00.0","0","0","0","0","0","19","62","0","12","17","0"
"1998-01-29 15:30:00.0","0","0","0","0","0","0","29","0","12","0","0"
"1998-01-29 15:40:00.0","0","0","0","0","0","0","51","6","12","12","0"
"1998-01-29 15:50:00.0","0","0","0","0","0","0","33","0","0","19","0"
"1998-01-29 16:00:00.0","0","0","0","0","0","0","17","0","0","1","0"
"1998-01-29 16:10:00.0","0","0","0","0","0","0","24","0","0","8","0"
"1998-01-29 16:20:00.0","0","0","0","8","0","0","40","0","0","20","0"
"1998-01-29 16:30:00.0","0","0","0","26","0","0","44","0","0","5","0"
"1998-01-29 16:40:00.0","0","0","0","24","0","0","41","0","0","3","0"
"1998-01-29 16:50:00.0","0","0","0","21","0","0","52","0","0","20","0"
"1998-01-29 17:00:00.0","0","0","0","21","0","0","41","0","0","9","0"
"1998-01-29 17:10:00.0","0","0","0","20","0","0","34","0","0","0","0"
"1998-01-29 17:20:00.0","0","0","0","19","0","0","50","0","0","20","0"
"1998-01-29 17:30:00.0","0","0","0","19","0","0","43","0","0","12","0"
"1998-01-29 17:40:00.0","0","0","0","19","0","0","32","0","0","0","0"
"1998-01-29 17:50:00.0","0","0","0","18","0","0","46","0","0","17","0"
"1998-01-29 18:00:00.0","0","0","0","18","0","0","45","0","0","16","0"
"1998-01-29 18:10:00.0","0","0","0","18","0","0","47","17","0","0","0"
"1998-01-29 18:20:00.0","0","0","0","18","0","0","62","19","0","13","0"
"1998-01-29 18:30:00.0","0","0","0","18","0","0","53","9","0","16","0"
"1998-01-29 18:40:00.0","0","0","0","17","0","0","57","25","0","0","0"
"1998-01-29 18:50:00.0","81","0","0","18","0","0","173","40","10","12","0"
"1998-01-29 19:00:00.0","367","0","0","17","0","0","448","19","12","18","0"
"1998-01-29 19:10:00.0","369","0","0","18","0","77","493","12","2","2","0"
"1998-01-29 19:20:00.0","293","0","0","17","0","30","384","9","0","21","0"
"1998-01-29 19:30:00.0","33","0","0","18","0","0","83","7","0","17","0"
"1998-01-29 19:40:00.0","10","0","0","18","0","0","57","16","0","0","0"
"1998-01-29 19:50:00.0","0","0","0","18","0","0","76","30","0","13","0"
"1998-01-29 20:00:00.0","0","0","0","12","0","0","79","34","0","20","0"
"1998-01-29 20:10:00.0","0","129","0","0","0","0","167","20","0","1","0"
"1998-01-29 20:20:00.0","0","477","0","0","0","0","524","18","0","9","0"
"1998-01-29 20:30:00.0","0","232","0","0","0","0","287","16","0","20","0"
"1998-01-29 20:40:00.0","0","24","0","0","0","0","64","19","0","4","0"
"1998-01-29 20:50:00.0","0","73","0","0","0","0","117","24","0","6","0"
"1998-01-29 21:00:00.0","0","368","0","0","0","0","415","9","0","20","0"
"1998-01-29 21:10:00.0","0","228","0","0","0","0","266","5","3","6","0"
"1998-01-29 21:20:00.0","0","1","0","0","0","0","41","6","12","3","0"
"1998-01-29 21:30:00.0","0","0","0","0","0","0","55","6","13","21","0"
"1998-01-29 21:40:00.0","0","0","0","0","0","0","50","12","12","8","0"
"1998-01-29 21:50:00.0","0","0","0","1","0","36","79","7","12","0","0"
"1998-01-29 22:00:00.0","0","0","0","26","0","0","78","8","12","21","0"
"1998-01-29 22:10:00.0","0","0","0","22","0","0","65","5","12","12","0"
"1998-01-29 22:20:00.0","0","0","0","21","0","0","55","5","12","0","0"
"1998-01-29 22:30:00.0","0","0","0","20","0","0","68","5","12","18","0"
"1998-01-29 22:40:00.0","0","0","0","20","0","0","64","5","13","12","0"
"1998-01-29 22:50:00.0","0","0","0","7","0","0","43","6","12","1","0"
"1998-01-29 23:00:00.0","0","0","0","0","0","0","53","5","11","20","0"
"1998-01-29 23:10:00.0","0","0","0","0","0","0","44","6","12","8","0"
"1998-01-29 23:20:00.0","0","0","0","0","0","0","42","6","12","6","0"
"1998-01-29 23:30:00.0","0","0","0","0","0","0","56","7","13","20","0"
"1998-01-29 23:40:00.0","0","0","0","0","0","0","37","3","12","3","0"
"1998-01-29 23:50:00.0","0","0","0","0","0","0","42","2","11","11","0"
"1998-01-30 00:00:00.0","0","0","0","0","0","0","50","3","12","19","0"
"1998-01-30 00:10:00.0","0","0","0","0","0","0","33","2","11","1","0"
"1998-01-30 00:20:00.0","0","0","0","0","0","0","41","2","13","9","0"
"1998-01-30 00:30:00.0","0","0","0","0","0","0","50","2","12","19","0"
"1998-01-30 00:40:00.0","0","0","0","15","0","0","50","2","12","3","0"
"1998-01-30 00:50:00.0","0","0","0","24","0","0","60","2","13","7","0"
"1998-01-30 01:00:00.0","0","0","0","21","0","0","68","2","12","19","0"
"1998-01-30 01:10:00.0","0","0","0","21","0","0","43","2","0","5","0"
"1998-01-30 01:20:00.0","0","0","0","19","0","0","42","2","0","4","0"
"1998-01-30 01:30:00.0","0","0","0","1","0","0","39","2","0","20","0"
"1998-01-30 01:40:00.0","0","0","0","0","0","0","27","2","0","7","0"
"1998-01-30 01:50:00.0","0","0","0","0","0","0","24","2","0","3","0"
"1998-01-30 02:00:00.0","0","0","0","0","0","0","39","2","0","20","0"
"1998-01-30 02:10:00.0","0","0","0","0","0","0","28","2","0","7","0"
"1998-01-30 02:20:00.0","0","0","0","0","0","0","22","2","0","0","0"
"1998-01-30 02:30:00.0","0","0","0","0","0","0","39","2","0","20","0"
"1998-01-30 02:40:00.0","0","0","0","0","0","0","29","2","0","10","0"
"1998-01-30 02:50:00.0","0","0","0","0","0","0","22","2","0","0","0"
"1998-01-30 03:00:00.0","0","0","0","0","0","0","38","2","0","19","0"
"1998-01-30 03:10:00.0","0","0","0","20","0","0","50","2","0","11","0"
"1998-01-30 03:20:00.0","0","0","0","23","0","0","41","2","0","0","0"
"1998-01-30 03:30:00.0","0","0","0","21","0","0","55","2","0","18","0"
"1998-01-30 03:40:00.0","0","0","0","21","0","0","49","2","0","12","0"
"1998-01-30 03:50:00.0","0","0","0","19","0","0","38","3","0","0","0"
"1998-01-30 04:00:00.0","0","0","0","19","0","0","52","2","0","16","0"
"1998-01-30 04:10:00.0","0","0","0","3","0","0","35","2","0","14","0"
"1998-01-30 04:20:00.0","0","0","0","0","0","0","22","2","0","0","0"
"1998-01-30 04:30:00.0","0","0","0","0","0","0","34","2","0","15","0"
"1998-01-30 04:40:00.0","0","0","0","0","0","0","34","2","0","15","0"
"1998-01-30 04:50:00.0","0","0","0","0","0","0","22","2","0","0","0"
"1998-01-30 05:00:00.0","0","0","0","0","0","0","34","2","0","14","0"
"1998-01-30 05:10:00.0","0","0","0","0","0","0","35","2","0","16","0"
"1998-01-30 05:20:00.0","0","0","0","0","0","0","21","2","0","0","0"
"1998-01-30 05:30:00.0","0","0","0","0","0","0","32","2","0","12","0"
"1998-01-30 05:40:00.0","0","0","0","0","0","0","37","2","0","18","0"
"1998-01-30 05:50:00.0","0","0","0","0","0","0","21","2","0","0","0"
"1998-01-30 06:00:00.0","0","0","0","0","0","0","31","2","0","10","0"
"1998-01-30 06:10:00.0","0","0","0","25","0","0","60","2","0","19","0"
"1998-01-30 06:20:00.0","0","0","0","23","0","0","41","3","0","0","0"
"1998-01-30 06:30:00.0","0","0","0","21","0","0","49","2","0","10","0"
"1998-01-30 06:40:00.0","0","0","0","20","0","0","55","3","0","19","0"
"1998-01-30 06:50:00.0","0","0","0","19","0","0","40","3","0","1","0"
"1998-01-30 07:00:00.0","0","0","0","3","0","0","31","2","0","8","0"
"1998-01-30 07:10:00.0","0","0","0","0","0","0","39","3","0","20","0"
"1998-01-30 07:20:00.0","0","0","0","0","0","0","23","2","0","1","0"
"1998-01-30 07:30:00.0","0","0","0","0","0","0","29","4","0","7","0"
"1998-01-30 07:40:00.0","0","0","0","0","0","0","157","9","0","19","0"
"1998-01-30 07:50:00.0","0","0","0","18","0","4","47","10","0","3","0"
"1998-01-30 08:00:00.0","0","0","0","22","0","16","69","11","0","6","0"
"1998-01-30 08:10:00.0","0","0","0","21","0","0","68","11","5","20","0"
"1998-01-30 08:20:00.0","0","0","0","19","0","0","56","8","12","3","0"
"1998-01-30 08:30:00.0","0","0","0","12","0","0","53","8","12","7","0"
"1998-01-30 08:40:00.0","0","0","0","0","0","0","56","9","12","19","0"
"1998-01-30 08:50:00.0","0","0","0","0","0","0","39","10","9","4","0"
"1998-01-30 09:00:00.0","0","0","0","0","0","0","46","10","0","5","0"
"1998-01-30 09:10:00.0","0","0","0","0","0","0","52","4","0","20","0"
"1998-01-30 09:20:00.0","0","0","0","0","0","0","18","0","0","4","0"
"1998-01-30 09:30:00.0","0","0","0","0","0","0","21","0","0","5","0"
"1998-01-30 09:40:00.0","0","0","0","0","0","0","33","0","0","20","0"
"1998-01-30 09:50:00.0","0","0","0","0","0","0","43","6","13","5","0"
"1998-01-30 10:00:00.0","0","0","0","7","0","0","50","9","12","4","0"
"1998-01-30 10:10:00.0","0","0","0","24","0","0","69","0","13","20","0"
"1998-01-30 10:20:00.0","0","0","0","22","0","0","44","3","1","6","0"
"1998-01-30 10:30:00.0","0","0","0","20","0","0","29","0","1","3","0"
"1998-01-30 10:40:00.0","0","0","0","20","0","0","42","0","1","21","0"
"1998-01-30 10:50:00.0","0","0","0","5","0","0","18","0","1","6","0"
"1998-01-30 11:00:00.0","0","0","0","0","0","0","15","0","1","4","0"
"1998-01-30 11:10:00.0","0","0","0","0","0","0","36","0","0","20","0"
"1998-01-30 11:20:00.0","0","0","0","0","0","0","25","1","0","6","0"
"1998-01-30 11:30:00.0","0","0","0","0","0","0","23","0","0","4","0"
"1998-01-30 11:40:00.0","0","0","0","0","0","0","47","0","10","20","0"
"1998-01-30 11:50:00.0","0","0","0","0","0","0","39","0","12","6","0"
"1998-01-30 12:00:00.0","0","0","0","17","0","0","54","0","13","3","0"
"1998-01-30 12:10:00.0","0","0","0","23","0","0","71","0","13","20","0"
"1998-01-30 12:20:00.0","0","0","0","21","0","0","59","0","12","8","0"
"1998-01-30 12:30:00.0","0","0","0","21","0","0","54","0","13","1","0"
"1998-01-30 12:40:00.0","0","0","0","9","0","0","60","0","12","21","0"
"1998-01-30 12:50:00.0","0","0","0","0","0","0","43","0","12","10","0"
"1998-01-30 13:00:00.0","0","0","0","0","0","0","34","0","13","0","0"
"1998-01-30 13:10:00.0","0","0","0","0","0","0","52","0","13","20","0"
"1998-01-30 13:20:00.0","0","0","0","0","0","19","167","5","13","12","103"
"1998-01-30 13:30:00.0","0","0","0","17","0","23","407","0","13","0","339"
"1998-01-30 13:40:00.0","0","0","0","22","0","0","300","0","12","18","235"
"1998-01-30 13:50:00.0","0","0","0","21","0","0","77","0","13","14","22"
"1998-01-30 14:00:00.0","0","0","0","20","0","0","61","0","12","0","15"
"1998-01-30 14:10:00.0","0","0","0","20","0","0","77","0","13","17","16"
"1998-01-30 14:20:00.0","0","0","0","19","0","0","71","0","13","16","11"
"1998-01-30 14:30:00.0","0","0","0","19","0","0","49","0","6","0","13"
"1998-01-30 14:40:00.0","0","0","0","10","0","0","51","0","0","14","14"
"1998-01-30 14:50:00.0","0","0","0","0","0","0","54","0","0","18","25"
"1998-01-30 15:00:00.0","0","0","0","0","0","0","19","0","0","0","0"
"1998-01-30 15:10:00.0","0","0","0","0","0","0","30","0","0","12","0"
"1998-01-30 15:20:00.0","0","0","0","0","0","0","36","0","0","20","0"
"1998-01-30 15:30:00.0","0","0","0","0","0","0","18","0","0","0","0"
"1998-01-30 15:40:00.0","0","0","0","0","0","0","28","0","0","10","0"
"1998-01-30 15:50:00.0","0","0","0","0","0","0","36","0","0","20","0"
"1998-01-30 16:00:00.0","0","0","0","0","0","0","20","0","0","2","0"
"1998-01-30 16:10:00.0","0","0","0","0","0","0","26","0","0","8","0"
"1998-01-30 16:20:00.0","0","0","0","13","0","0","47","0","0","20","0"
"1998-01-30 16:30:00.0","0","0","0","24","0","0","43","0","0","3","0"
"1998-01-30 16:40:00.0","0","0","0","22","0","0","43","0","0","7","0"
"1998-01-30 16:50:00.0","0","0","0","20","0","0","53","0","0","20","0"
"1998-01-30 17:00:00.0","0","0","0","20","0","0","38","0","0","5","0"
"1998-01-30 17:10:00.0","0","0","0","20","0","0","40","0","0","5","0"
"1998-01-30 17:20:00.0","0","0","0","18","0","0","50","0","0","20","0"
"1998-01-30 17:30:00.0","0","0","0","0","0","0","23","0","0","6","0"
"1998-01-30 17:40:00.0","0","0","0","0","0","0","22","0","0","4","0"
"1998-01-30 17:50:00.0","0","0","0","0","0","0","35","0","0","20","0"
"1998-01-30 18:00:00.0","0","0","0","0","0","0","24","0","0","7","0"
"1998-01-30 18:10:00.0","0","0","0","0","0","0","35","16","0","2","0"
"1998-01-30 18:20:00.0","0","0","0","0","0","0","64","29","0","20","0"
"1998-01-30 18:30:00.0","0","0","0","0","0","0","51","26","0","9","0"
"1998-01-30 18:40:00.0","0","0","0","8","0","0","57","30","0","0","0"
"1998-01-30 18:50:00.0","0","0","0","24","0","0","91","35","0","20","0"
"1998-01-30 19:00:00.0","0","0","0","22","0","0","79","35","0","10","0"
"1998-01-30 19:10:00.0","0","0","0","20","0","0","59","23","0","0","0"
"1998-01-30 19:20:00.0","357","0","0","20","0","0","430","20","0","20","0"
"1998-01-30 19:30:00.0","221","0","0","20","0","0","274","7","0","11","0"
"1998-01-30 19:40:00.0","32","0","0","19","0","0","71","5","1","0","0"
"1998-01-30 19:50:00.0","2","0","0","16","0","0","71","8","12","19","0"
"1998-01-30 20:00:00.0","0","0","0","0","0","0","53","12","12","13","0"
"1998-01-30 20:10:00.0","0","0","0","0","0","0","38","6","12","0","0"
"1998-01-30 20:20:00.0","0","0","0","0","0","0","55","8","11","17","0"
"1998-01-30 20:30:00.0","0","0","0","23","0","0","86","19","11","20","0"
"1998-01-30 20:40:00.0","0","0","0","21","0","0","79","27","10","6","0"
"1998-01-30 20:50:00.0","0","0","0","15","0","0","58","23","0","6","0"
"1998-01-30 21:00:00.0","0","0","0","0","0","0","51","16","0","20","0"
"1998-01-30 21:10:00.0","0","0","0","0","0","0","34","11","0","7","0"
"1998-01-30 21:20:00.0","0","0","0","0","0","0","28","4","3","2","0"
"1998-01-30 21:30:00.0","0","0","0","0","0","0","52","5","12","21","0"
"1998-01-30 21:40:00.0","0","0","0","0","0","0","45","5","11","12","0"
"1998-01-30 21:50:00.0","0","0","0","0","0","0","42","11","12","0","0"
"1998-01-30 22:00:00.0","0","0","0","24","0","0","77","9","12","18","0"
"1998-01-30 22:10:00.0","0","0","229","22","0","27","347","9","12","17","0"
"1998-01-30 22:20:00.0","0","0","300","20","0","14","348","8","13","0","0"
"1998-01-30 22:30:00.0","0","0","5","20","0","0","69","5","12","14","0"
"1998-01-30 22:40:00.0","0","0","3","19","0","0","71","5","12","20","0"
