"Time","Dish washer (12 place setting, 2,3kW)","Electric Cooker (hot plate+oven) ()","Fridge (Kitchen, 310l)","Microwave oven ()","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","TV (51cm)","Washing machine (5kg, 2,15kW)"
"1998-02-13 01:10:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 01:20:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 01:30:00.0","0","0","7","0","0","0","15","0","0","0","0"
"1998-02-13 01:40:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 01:50:00.0","0","0","7","0","0","0","15","0","0","0","0"
"1998-02-13 02:00:00.0","0","0","7","0","0","0","16","0","0","0","0"
"1998-02-13 02:10:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 02:20:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 02:30:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 02:40:00.0","0","0","7","0","0","0","15","0","0","0","0"
"1998-02-13 02:50:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 03:00:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 03:10:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 03:20:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 03:30:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 03:40:00.0","0","0","7","0","0","0","15","0","0","0","0"
"1998-02-13 03:50:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 04:00:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 04:10:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 04:20:00.0","0","0","7","0","0","0","15","0","0","0","0"
"1998-02-13 04:30:00.0","0","0","7","0","0","0","15","0","0","0","0"
"1998-02-13 04:40:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 04:50:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 05:00:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 05:10:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-13 05:20:00.0","0","0","7","0","0","0","16","0","0","0","0"
"1998-02-13 05:30:00.0","0","0","5","0","0","0","14","0","0","0","0"
"1998-02-13 05:40:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 05:50:00.0","0","0","8","0","0","0","27","12","0","0","0"
"1998-02-13 06:00:00.0","0","0","6","0","0","0","38","23","0","0","0"
"1998-02-13 06:10:00.0","0","0","6","0","0","0","40","24","0","0","0"
"1998-02-13 06:20:00.0","0","0","6","0","0","0","33","17","0","0","0"
"1998-02-13 06:30:00.0","0","0","8","0","0","0","17","3","0","0","0"
"1998-02-13 06:40:00.0","0","0","6","0","0","0","21","5","0","0","0"
"1998-02-13 06:50:00.0","0","0","8","0","0","0","26","8","0","0","0"
"1998-02-13 07:00:00.0","0","0","9","0","0","0","69","41","11","0","0"
"1998-02-13 07:10:00.0","0","0","6","0","0","0","66","36","13","0","0"
"1998-02-13 07:20:00.0","0","0","7","0","0","0","73","44","13","0","0"
"1998-02-13 07:30:00.0","0","0","6","0","0","0","71","42","12","0","0"
"1998-02-13 07:40:00.0","0","0","8","0","0","0","81","52","12","0","0"
"1998-02-13 07:50:00.0","0","0","8","0","0","0","80","50","13","0","0"
"1998-02-13 08:00:00.0","0","0","7","0","0","0","79","51","12","0","0"
"1998-02-13 08:10:00.0","0","0","7","0","0","0","82","52","12","0","0"
"1998-02-13 08:20:00.0","0","0","7","0","0","0","35","6","13","0","0"
"1998-02-13 08:30:00.0","0","0","7","0","0","0","30","0","13","0","0"
"1998-02-13 08:40:00.0","0","0","8","0","0","0","31","0","12","0","0"
"1998-02-13 08:50:00.0","0","0","7","0","0","0","30","0","12","0","0"
"1998-02-13 09:00:00.0","16","0","7","0","0","0","49","2","12","0","0"
"1998-02-13 09:10:00.0","170","0","10","0","0","0","211","5","14","0","0"
"1998-02-13 09:20:00.0","382","0","8","0","0","0","425","0","14","0","0"
"1998-02-13 09:30:00.0","380","0","9","0","0","0","421","0","13","0","0"
"1998-02-13 09:40:00.0","379","0","7","0","0","0","418","0","12","0","0"
"1998-02-13 09:50:00.0","68","0","7","0","0","0","149","0","13","0","50"
"1998-02-13 10:00:00.0","168","0","6","0","0","0","564","6","14","0","351"
"1998-02-13 10:10:00.0","382","0","7","0","0","0","572","6","14","0","138"
"1998-02-13 10:20:00.0","385","0","6","0","0","0","445","5","11","0","18"
"1998-02-13 10:30:00.0","240","0","7","0","0","0","306","0","12","0","31"
"1998-02-13 10:40:00.0","3","0","8","0","0","0","67","1","13","0","35"
"1998-02-13 10:50:00.0","0","0","7","0","0","0","52","0","14","0","21"
"1998-02-13 11:00:00.0","0","0","8","0","0","0","103","0","7","0","80"
"1998-02-13 11:10:00.0","0","0","9","0","0","0","86","1","0","0","69"
"1998-02-13 11:20:00.0","0","0","9","0","0","0","30","0","0","0","12"
"1998-02-13 11:30:00.0","0","0","7","0","0","0","18","0","0","0","0"
"1998-02-13 11:40:00.0","0","0","7","0","0","0","17","0","0","0","0"
"1998-02-13 11:50:00.0","0","0","7","0","0","0","18","1","0","0","0"
"1998-02-13 12:00:00.0","0","0","8","0","0","0","358","0","3","0","333"
"1998-02-13 12:10:00.0","0","0","7","0","0","0","260","3","12","0","221"
"1998-02-13 12:20:00.0","0","0","8","0","0","0","51","6","12","0","18"
"1998-02-13 12:30:00.0","0","0","10","0","0","0","50","0","12","0","19"
"1998-02-13 12:40:00.0","0","0","9","0","0","0","67","0","12","0","39"
"1998-02-13 12:50:00.0","0","0","10","0","0","0","62","0","12","0","33"
"1998-02-13 13:00:00.0","0","0","11","0","0","0","109","2","11","0","78"
"1998-02-13 13:10:00.0","0","0","9","0","0","0","194","0","12","0","80"
"1998-02-13 13:20:00.0","0","0","7","0","0","0","54","0","11","0","10"
"1998-02-13 13:30:00.0","0","0","8","0","0","0","30","0","12","0","0"
"1998-02-13 13:40:00.0","0","0","9","0","0","0","83","1","12","0","0"
"1998-02-13 13:50:00.0","0","0","8","0","0","0","112","0","12","5","0"
"1998-02-13 14:00:00.0","0","0","7","0","0","0","222","0","11","8","0"
"1998-02-13 14:10:00.0","0","0","8","0","0","0","209","0","11","8","0"
"1998-02-13 14:20:00.0","0","0","8","0","0","0","156","0","12","8","0"
"1998-02-13 14:30:00.0","0","0","7","0","0","0","179","1","11","1","0"
"1998-02-13 14:40:00.0","0","0","8","0","0","0","65","0","12","0","0"
"1998-02-13 14:50:00.0","0","0","8","0","0","0","112","0","12","0","0"
"1998-02-13 15:00:00.0","0","0","8","0","0","0","81","0","11","0","0"
"1998-02-13 15:10:00.0","0","0","8","0","0","0","32","3","11","0","0"
"1998-02-13 15:20:00.0","0","0","8","0","0","0","20","0","2","0","0"
"1998-02-13 15:30:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 15:40:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 15:50:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 16:00:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 16:10:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 16:20:00.0","0","0","8","0","0","0","16","0","0","0","0"
"1998-02-13 16:30:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 16:40:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 16:50:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 17:00:00.0","0","0","17","0","0","0","33","0","7","0","0"
"1998-02-13 17:10:00.0","0","0","26","0","0","0","47","0","13","0","0"
"1998-02-13 17:20:00.0","0","0","15","0","0","0","32","6","3","0","0"
"1998-02-13 17:30:00.0","0","0","13","0","0","0","27","6","0","0","0"
"1998-02-13 17:40:00.0","0","0","14","0","0","0","35","14","0","0","0"
"1998-02-13 17:50:00.0","0","0","14","0","0","0","36","13","0","0","0"
"1998-02-13 18:00:00.0","0","0","13","0","0","0","55","23","10","0","0"
"1998-02-13 18:10:00.0","0","0","12","0","0","0","69","36","11","0","0"
"1998-02-13 18:20:00.0","0","0","12","0","0","0","52","26","3","0","0"
"1998-02-13 18:30:00.0","0","0","13","0","0","2","98","56","12","4","0"
"1998-02-13 18:40:00.0","0","0","12","0","0","6","85","45","13","0","0"
"1998-02-13 18:50:00.0","0","0","13","0","0","3","139","62","12","0","0"
"1998-02-13 19:00:00.0","0","0","14","0","0","0","71","37","11","0","0"
"1998-02-13 19:10:00.0","0","0","16","0","0","0","71","36","11","0","0"
"1998-02-13 19:20:00.0","0","0","19","0","0","0","69","31","11","0","0"
"1998-02-13 19:30:00.0","0","0","12","0","0","0","65","32","12","0","0"
"1998-02-13 19:40:00.0","2","0","15","0","0","0","81","45","11","0","0"
"1998-02-13 19:50:00.0","34","0","10","0","0","0","106","40","13","0","0"
"1998-02-13 20:00:00.0","392","0","11","0","0","0","480","37","13","7","0"
"1998-02-13 20:10:00.0","398","0","9","0","0","0","474","32","12","0","0"
"1998-02-13 20:20:00.0","398","0","11","0","0","0","474","32","13","0","0"
"1998-02-13 20:30:00.0","139","0","9","0","0","0","209","32","12","0","0"
"1998-02-13 20:40:00.0","108","0","9","0","0","0","172","32","14","0","0"
"1998-02-13 20:50:00.0","396","0","12","0","2","0","486","37","12","3","0"
"1998-02-13 21:00:00.0","396","0","9","0","6","0","456","0","13","10","0"
"1998-02-13 21:10:00.0","215","0","9","0","7","0","271","0","13","8","0"
"1998-02-13 21:20:00.0","3","0","10","0","4","0","46","0","12","9","0"
"1998-02-13 21:30:00.0","0","0","9","0","0","0","53","13","12","9","0"
"1998-02-13 21:40:00.0","0","0","10","0","4","0","49","4","12","8","0"
"1998-02-13 21:50:00.0","0","0","10","0","7","0","49","0","13","10","0"
"1998-02-13 22:00:00.0","0","0","10","0","5","0","44","5","12","2","0"
"1998-02-13 22:10:00.0","0","0","10","0","0","0","31","0","13","0","0"
"1998-02-13 22:20:00.0","0","0","9","0","0","0","31","0","12","0","0"
"1998-02-13 22:30:00.0","0","0","9","0","0","0","31","1","13","0","0"
"1998-02-13 22:40:00.0","0","0","9","0","0","0","30","0","12","0","0"
"1998-02-13 22:50:00.0","0","0","9","0","0","0","31","0","13","0","0"
"1998-02-13 23:00:00.0","0","0","8","0","0","0","30","0","12","0","0"
"1998-02-13 23:10:00.0","0","0","9","0","0","0","27","0","8","0","0"
"1998-02-13 23:20:00.0","0","0","8","0","0","0","20","0","0","0","0"
"1998-02-13 23:30:00.0","0","0","8","0","0","0","18","0","0","0","0"
"1998-02-13 23:40:00.0","0","0","6","0","0","0","18","0","0","0","0"
"1998-02-13 23:50:00.0","0","0","6","0","0","0","17","0","0","0","0"
"1998-02-14 00:00:00.0","0","0","7","0","0","0","17","0","0","0","0"
"1998-02-14 00:10:00.0","0","0","8","0","0","0","18","0","0","0","0"
"1998-02-14 00:20:00.0","0","0","8","0","0","0","20","0","0","0","0"
"1998-02-14 00:30:00.0","0","0","8","0","0","0","19","0","0","0","0"
"1998-02-14 00:40:00.0","0","0","8","0","0","0","19","0","0","0","0"
"1998-02-14 00:50:00.0","0","0","8","0","0","0","19","0","0","0","0"
"1998-02-14 01:00:00.0","0","0","8","0","0","0","19","0","0","0","0"
"1998-02-14 01:10:00.0","0","0","8","0","0","0","19","0","0","0","0"
"1998-02-14 01:20:00.0","0","0","6","0","0","0","17","0","0","0","0"
"1998-02-14 01:30:00.0","0","0","4","0","0","0","16","0","0","0","0"
"1998-02-14 01:40:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-14 01:50:00.0","0","0","8","0","0","0","19","0","0","0","0"
"1998-02-14 02:00:00.0","0","0","8","0","0","0","19","0","0","0","0"
"1998-02-14 02:10:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 02:20:00.0","0","0","7","0","0","0","17","0","0","0","0"
"1998-02-14 02:30:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 02:40:00.0","0","0","5","0","0","0","14","0","0","0","0"
"1998-02-14 02:50:00.0","0","0","3","0","0","0","13","0","0","0","0"
"1998-02-14 03:00:00.0","0","0","8","0","0","0","15","0","0","0","0"
"1998-02-14 03:10:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 03:20:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 03:30:00.0","0","0","8","0","0","0","16","0","0","0","0"
"1998-02-14 03:40:00.0","0","0","7","0","0","0","16","0","0","0","0"
"1998-02-14 03:50:00.0","0","0","4","0","0","0","13","0","0","0","0"
"1998-02-14 04:00:00.0","0","0","5","0","0","0","14","0","0","0","0"
"1998-02-14 04:10:00.0","0","0","8","0","0","0","16","0","0","0","0"
"1998-02-14 04:20:00.0","0","0","7","0","0","0","17","0","0","0","0"
"1998-02-14 04:30:00.0","0","0","8","0","0","0","16","0","0","0","0"
"1998-02-14 04:40:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-14 04:50:00.0","0","0","3","0","0","0","12","0","0","0","0"
"1998-02-14 05:00:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-14 05:10:00.0","0","0","8","0","0","0","16","0","0","0","0"
"1998-02-14 05:20:00.0","0","0","7","0","0","0","16","0","0","0","0"
"1998-02-14 05:30:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 05:40:00.0","0","0","2","0","0","0","12","0","0","0","0"
"1998-02-14 05:50:00.0","0","0","5","0","0","0","13","0","0","0","0"
"1998-02-14 06:00:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 06:10:00.0","0","0","7","0","0","0","16","0","0","0","0"
"1998-02-14 06:20:00.0","0","0","8","0","0","0","36","18","0","0","0"
"1998-02-14 06:30:00.0","0","0","5","0","0","0","32","19","0","0","0"
"1998-02-14 06:40:00.0","0","0","3","0","0","0","31","18","0","0","0"
"1998-02-14 06:50:00.0","0","0","8","0","0","0","36","19","0","0","0"
"1998-02-14 07:00:00.0","0","0","8","0","0","0","35","18","0","0","0"
"1998-02-14 07:10:00.0","0","0","8","0","0","0","36","19","0","0","0"
"1998-02-14 07:20:00.0","0","0","6","0","0","0","35","20","0","0","0"
"1998-02-14 07:30:00.0","0","0","2","0","0","0","30","18","0","0","0"
"1998-02-14 07:40:00.0","0","0","8","0","0","0","35","19","0","0","0"
"1998-02-14 07:50:00.0","0","0","8","0","0","0","31","13","0","0","0"
"1998-02-14 08:00:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 08:10:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 08:20:00.0","0","0","2","0","0","0","14","1","0","0","0"
"1998-02-14 08:30:00.0","0","0","6","0","0","0","30","3","10","0","0"
"1998-02-14 08:40:00.0","0","0","9","0","0","0","33","3","12","0","0"
"1998-02-14 08:50:00.0","0","0","8","0","0","0","27","1","8","0","0"
"1998-02-14 09:00:00.0","0","0","8","0","0","0","18","0","0","0","0"
"1998-02-14 09:10:00.0","0","0","8","0","0","0","101","0","0","0","83"
"1998-02-14 09:20:00.0","0","0","10","0","0","0","355","1","0","0","331"
"1998-02-14 09:30:00.0","0","0","8","0","0","0","119","0","0","0","97"
"1998-02-14 09:40:00.0","0","0","5","0","0","0","32","0","0","0","18"
"1998-02-14 09:50:00.0","0","0","7","0","0","0","51","1","0","1","33"
"1998-02-14 10:00:00.0","0","0","13","0","0","0","64","0","0","9","35"
"1998-02-14 10:10:00.0","0","0","13","0","0","0","53","3","0","10","20"
"1998-02-14 10:20:00.0","0","0","12","0","0","0","106","14","0","8","64"
"1998-02-14 10:30:00.0","0","0","11","0","0","0","102","4","0","8","71"
"1998-02-14 10:40:00.0","0","0","12","0","0","0","39","4","0","7","7"
"1998-02-14 10:50:00.0","0","0","10","0","0","0","312","0","0","8","279"
"1998-02-14 11:00:00.0","0","0","13","0","0","0","282","0","0","8","246"
"1998-02-14 11:10:00.0","0","0","10","0","0","0","44","0","0","8","18"
"1998-02-14 11:20:00.0","0","0","8","0","0","0","44","3","0","6","17"
"1998-02-14 11:30:00.0","0","0","9","0","0","0","55","1","0","0","37"
"1998-02-14 11:40:00.0","0","0","10","0","0","0","48","0","0","0","29"
"1998-02-14 11:50:00.0","0","0","13","0","0","0","92","0","6","0","66"
"1998-02-14 12:00:00.0","0","0","11","0","0","0","52","0","13","0","20"
"1998-02-14 12:10:00.0","0","0","9","0","0","0","31","0","13","0","0"
"1998-02-14 12:20:00.0","0","0","11","0","0","0","97","0","13","0","66"
"1998-02-14 12:30:00.0","0","0","12","0","0","0","43","0","13","0","9"
"1998-02-14 12:40:00.0","0","0","11","0","0","0","32","0","12","0","0"
"1998-02-14 12:50:00.0","0","0","12","0","0","0","20","0","0","0","0"
"1998-02-14 13:00:00.0","0","0","11","0","0","0","32","1","10","0","0"
"1998-02-14 13:10:00.0","0","0","14","0","0","0","35","0","12","0","0"
"1998-02-14 13:20:00.0","0","0","12","0","0","0","33","0","13","0","0"
"1998-02-14 13:30:00.0","0","0","11","0","0","0","34","0","14","0","0"
"1998-02-14 13:40:00.0","0","0","12","0","0","0","71","0","13","0","0"
"1998-02-14 13:50:00.0","0","0","11","0","0","0","188","0","4","0","95"
"1998-02-14 14:00:00.0","0","0","9","0","0","0","384","0","5","0","350"
"1998-02-14 14:10:00.0","0","0","10","0","0","0","132","2","11","0","98"
"1998-02-14 14:20:00.0","0","0","11","0","0","0","45","2","5","0","19"
"1998-02-14 14:30:00.0","0","0","11","0","0","0","55","0","0","0","36"
"1998-02-14 14:40:00.0","0","0","10","0","0","0","56","0","0","0","39"
"1998-02-14 14:50:00.0","0","0","10","0","0","0","34","0","0","0","15"
"1998-02-14 15:00:00.0","0","0","10","0","0","0","90","0","0","0","72"
"1998-02-14 15:10:00.0","0","0","9","0","0","0","19","0","0","0","0"
"1998-02-14 15:20:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-14 15:30:00.0","0","0","8","0","0","0","16","0","0","0","0"
"1998-02-14 15:40:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-14 15:50:00.0","0","0","10","0","0","0","18","0","0","0","0"
"1998-02-14 16:00:00.0","0","0","10","0","0","0","19","0","0","0","0"
"1998-02-14 16:10:00.0","0","0","13","0","0","0","38","3","0","0","15"
"1998-02-14 16:20:00.0","0","0","10","0","0","0","67","0","9","0","36"
"1998-02-14 16:30:00.0","0","0","10","0","0","0","31","0","10","0","0"
"1998-02-14 16:40:00.0","0","0","10","0","0","0","32","0","11","0","0"
"1998-02-14 16:50:00.0","11","0","7","0","0","0","43","0","13","0","0"
"1998-02-14 17:00:00.0","118","0","6","0","0","0","148","0","14","0","0"
"1998-02-14 17:10:00.0","386","0","7","0","0","0","426","0","12","0","0"
"1998-02-14 17:20:00.0","384","0","10","0","0","0","434","9","12","0","0"
"1998-02-14 17:30:00.0","385","0","9","0","0","0","457","31","11","0","0"
"1998-02-14 17:40:00.0","227","0","9","0","0","0","297","31","12","0","0"
"1998-02-14 17:50:00.0","29","0","9","0","0","0","89","31","12","0","0"
"1998-02-14 18:00:00.0","356","0","4","0","0","0","423","32","13","0","0"
"1998-02-14 18:10:00.0","375","0","5","0","0","0","443","30","13","0","0"
"1998-02-14 18:20:00.0","373","0","9","0","0","0","444","31","12","0","0"
"1998-02-14 18:30:00.0","91","0","8","0","0","0","147","31","3","0","0"
"1998-02-14 18:40:00.0","1","0","9","0","0","0","69","50","0","0","0"
"1998-02-14 18:50:00.0","0","0","11","0","0","0","92","73","0","0","0"
"1998-02-14 19:00:00.0","0","0","5","0","0","0","98","71","10","0","0"
"1998-02-14 19:10:00.0","0","0","12","0","0","0","86","53","13","0","0"
"1998-02-14 19:20:00.0","0","0","9","0","0","0","62","33","12","0","0"
"1998-02-14 19:30:00.0","0","0","11","0","0","0","66","34","12","0","0"
"1998-02-14 19:40:00.0","0","0","11","0","0","0","63","31","12","0","0"
"1998-02-14 19:50:00.0","0","0","14","0","0","0","69","34","12","0","0"
"1998-02-14 20:00:00.0","0","0","11","0","0","0","67","35","12","0","0"
"1998-02-14 20:10:00.0","0","0","12","0","0","0","87","54","13","0","0"
"1998-02-14 20:20:00.0","0","0","7","0","0","0","76","47","12","0","0"
"1998-02-14 20:30:00.0","0","0","8","0","0","0","68","39","13","0","0"
"1998-02-14 20:40:00.0","0","0","11","0","0","0","166","44","13","0","0"
"1998-02-14 20:50:00.0","0","0","10","0","0","0","96","55","13","0","0"
"1998-02-14 21:00:00.0","0","0","14","0","0","0","101","63","13","0","0"
"1998-02-14 21:10:00.0","0","0","7","0","0","0","61","32","13","0","0"
"1998-02-14 21:20:00.0","0","0","6","0","0","0","59","32","13","0","0"
"1998-02-14 21:30:00.0","0","0","9","0","0","0","47","16","12","0","0"
"1998-02-14 21:40:00.0","0","0","10","0","0","0","34","1","14","0","0"
"1998-02-14 21:50:00.0","0","0","11","0","0","0","40","8","12","0","0"
"1998-02-14 22:00:00.0","0","0","10","0","0","0","31","0","13","0","0"
"1998-02-14 22:10:00.0","0","0","5","0","0","0","26","0","13","0","0"
"1998-02-14 22:20:00.0","0","0","7","0","0","0","30","1","13","0","0"
"1998-02-14 22:30:00.0","0","0","13","0","0","0","39","3","12","0","0"
"1998-02-14 22:40:00.0","0","0","11","0","0","0","33","1","13","0","0"
"1998-02-14 22:50:00.0","0","0","10","0","0","0","32","0","13","0","0"
"1998-02-14 23:00:00.0","0","0","6","0","0","0","21","0","6","0","0"
"1998-02-14 23:10:00.0","0","0","5","0","0","0","13","0","0","0","0"
"1998-02-14 23:20:00.0","0","0","10","0","0","0","20","1","0","0","0"
"1998-02-14 23:30:00.0","0","0","10","0","0","0","19","0","0","0","0"
"1998-02-14 23:40:00.0","0","0","10","0","0","0","19","0","0","0","0"
"1998-02-14 23:50:00.0","0","0","4","0","0","0","13","0","0","0","0"
"1998-02-15 00:00:00.0","0","0","6","0","0","0","14","0","0","0","0"
"1998-02-15 00:10:00.0","0","0","10","0","0","0","19","0","0","0","0"
"1998-02-15 00:20:00.0","0","0","10","0","0","0","18","0","0","0","0"
"1998-02-15 00:30:00.0","0","0","8","0","0","0","19","0","0","0","0"
"1998-02-15 00:40:00.0","0","0","3","0","0","0","12","0","0","0","0"
